,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What role does user behavior play in adapting interactive systems?,0.6663
1,What is an interactive software system?,What role does user behavior play in adapting interactive systems?,0.6479
2,What is a complex interactive computer system?,What are the main components of a human-computer interaction (HCI) system?,0.6886
3,What does make up the user interface of an interactive computer system?,What role does user behavior play in adapting interactive systems?,0.7109
4,What is a User?,How can user profiles be represented in an HCI ontology?,0.405
5,How can a user interact in human–computer interactions?,What are the main components of a human-computer interaction (HCI) system?,0.6627
6,"Considering intentionality, how can a user interact with an interactive computer system?",What role does user behavior play in adapting interactive systems?,0.6593
7,Why does a user intentionally interact with an interactive computer system?,What role does user behavior play in adapting interactive systems?,0.7033
8,What does make up a complex user participation?,What role does user behavior play in adapting interactive systems?,0.5134
9,What is a human–computer interaction?,What are the main components of a human-computer interaction (HCI) system?,0.7416
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What role does user behavior play in adapting interactive systems?,0.5517
11,How is a user input processed by an interactive computer system?,What role does user behavior play in adapting interactive systems?,0.6135
12,How does a user receive an output from an interactive computer system?,What role does user behavior play in adapting interactive systems?,0.5061
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What role does user behavior play in adapting interactive systems?,0.5823
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main components of a human-computer interaction (HCI) system?,0.453
