,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main entities involved in human-computer interaction?,0.6515
1,What is an interactive software system?,What are the main entities involved in human-computer interaction?,0.5619
2,What is a complex interactive computer system?,What are the main entities involved in human-computer interaction?,0.6881
3,What does make up the user interface of an interactive computer system?,What are the main entities involved in human-computer interaction?,0.6723
4,What is a User?,How is a user profile defined and utilized in HCI systems?,0.5045
5,How can a user interact in human–computer interactions?,What are the main entities involved in human-computer interaction?,0.7276
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main entities involved in human-computer interaction?,0.5425
7,Why does a user intentionally interact with an interactive computer system?,What are the main entities involved in human-computer interaction?,0.5432
8,What does make up a complex user participation?,What are the main entities involved in human-computer interaction?,0.525
9,What is a human–computer interaction?,What are the main entities involved in human-computer interaction?,0.8124
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main entities involved in human-computer interaction?,0.5039
11,How is a user input processed by an interactive computer system?,What types of input modalities are available for user interaction?,0.5722
12,How does a user receive an output from an interactive computer system?,How are input and output modes defined and distinguished in an HCI system?,0.4554
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input modalities are available for user interaction?,0.5385
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main entities involved in human-computer interaction?,0.4793
