,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How can ontologies be used to integrate user modeling and adaptation components in interactive systems?,0.5107
1,What is an interactive software system?,How can ontologies be used to integrate user modeling and adaptation components in interactive systems?,0.5434
2,What is a complex interactive computer system?,What sensory modalities are supported by typical human-computer interaction systems?,0.4959
3,What does make up the user interface of an interactive computer system?,What sensory modalities are supported by typical human-computer interaction systems?,0.5558
4,What is a User?,How can ontologies be used to integrate user modeling and adaptation components in interactive systems?,0.3181
5,How can a user interact in human–computer interactions?,What sensory modalities are supported by typical human-computer interaction systems?,0.6013
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can ontologies be used to integrate user modeling and adaptation components in interactive systems?,0.495
7,Why does a user intentionally interact with an interactive computer system?,How can ontologies be used to integrate user modeling and adaptation components in interactive systems?,0.4347
8,What does make up a complex user participation?,What are the core components of an interaction ontology in the context of adaptive user interfaces?,0.3642
9,What is a human–computer interaction?,What sensory modalities are supported by typical human-computer interaction systems?,0.5617
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can context-aware adaptation improve user interaction in pervasive computing environments?,0.4186
11,How is a user input processed by an interactive computer system?,What input modalities can be used by users with different physical and cognitive abilities?,0.4848
12,How does a user receive an output from an interactive computer system?,How do input and output mediums differ in an HCI system?,0.4206
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do input and output mediums differ in an HCI system?,0.4832
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What sensory modalities are supported by typical human-computer interaction systems?,0.3828
