,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How do we define an interactive system within the HCI ontology?,0.6279
1,What is an interactive software system?,How do we define an interactive system within the HCI ontology?,0.6345
2,What is a complex interactive computer system?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.6694
3,What does make up the user interface of an interactive computer system?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.6467
4,What is a User?,How is user adaptation modeled in an HCI ontology?,0.3075
5,How can a user interact in human–computer interactions?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.6807
6,"Considering intentionality, how can a user interact with an interactive computer system?",What methods exist for representing complex user interactions in HCI?,0.5689
7,Why does a user intentionally interact with an interactive computer system?,What methods exist for representing complex user interactions in HCI?,0.5255
8,What does make up a complex user participation?,What methods exist for representing complex user interactions in HCI?,0.5463
9,What is a human–computer interaction?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.7729
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What methods exist for representing complex user interactions in HCI?,0.447
11,How is a user input processed by an interactive computer system?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.5195
12,How does a user receive an output from an interactive computer system?,What are the key differences between input and output interaction modalities in HCI?,0.4671
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key differences between input and output interaction modalities in HCI?,0.5574
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the fundamental concepts in Human-Computer Interaction (HCI)?,0.5073
