,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What core concepts and entities are represented within the Human-Computer Interaction (HCI) domain ontology?,0.4439
1,What is an interactive software system?,How does the ontology integrate multimodal interaction methods and their respective devices?,0.4343
2,What is a complex interactive computer system?,What are the different types of interaction components modeled in the HCI ontology?,0.5075
3,What does make up the user interface of an interactive computer system?,How are user characteristics and interaction modalities represented and related in the HCI ontology?,0.5291
4,What is a User?,How are user characteristics and interaction modalities represented and related in the HCI ontology?,0.3628
5,How can a user interact in human–computer interactions?,How are user characteristics and interaction modalities represented and related in the HCI ontology?,0.507
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does the ontology support reasoning to infer new information about user interactions?,0.4695
7,Why does a user intentionally interact with an interactive computer system?,How does the ontology support reasoning to infer new information about user interactions?,0.4589
8,What does make up a complex user participation?,How are user characteristics and interaction modalities represented and related in the HCI ontology?,0.4751
9,What is a human–computer interaction?,What core concepts and entities are represented within the Human-Computer Interaction (HCI) domain ontology?,0.5825
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How does the ontology support reasoning to infer new information about user interactions?,0.4244
11,How is a user input processed by an interactive computer system?,How does the ontology integrate multimodal interaction methods and their respective devices?,0.4035
12,How does a user receive an output from an interactive computer system?,How does the ontology support reasoning to infer new information about user interactions?,0.331
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How can input and output modalities be evaluated and adjusted according to user needs in the ontology?,0.3835
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What core concepts and entities are represented within the Human-Computer Interaction (HCI) domain ontology?,0.3698
