,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main conceptual components involved in Human-Computer Interaction?,0.6212
1,What is an interactive software system?,What are the main conceptual components involved in Human-Computer Interaction?,0.5406
2,What is a complex interactive computer system?,What are the main conceptual components involved in Human-Computer Interaction?,0.6519
3,What does make up the user interface of an interactive computer system?,What are the main conceptual components involved in Human-Computer Interaction?,0.6626
4,What is a User?,How can the interaction ontology help in reasoning about user characteristics?,0.4756
5,How can a user interact in human–computer interactions?,What are the main conceptual components involved in Human-Computer Interaction?,0.7128
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main conceptual components involved in Human-Computer Interaction?,0.5489
7,Why does a user intentionally interact with an interactive computer system?,What are the main conceptual components involved in Human-Computer Interaction?,0.5208
8,What does make up a complex user participation?,What are the main conceptual components involved in Human-Computer Interaction?,0.5019
9,What is a human–computer interaction?,What are the main conceptual components involved in Human-Computer Interaction?,0.7623
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main conceptual components involved in Human-Computer Interaction?,0.4928
11,How is a user input processed by an interactive computer system?,What are the main conceptual components involved in Human-Computer Interaction?,0.5359
12,How does a user receive an output from an interactive computer system?,What role do input and output mediums play in the interaction model?,0.4537
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What role do input and output mediums play in the interaction model?,0.5593
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main conceptual components involved in Human-Computer Interaction?,0.4921
