,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of an interactive system in HCI?,0.7244
1,What is an interactive software system?,What are the core components of an interactive system in HCI?,0.6682
2,What is a complex interactive computer system?,What are the core components of an interactive system in HCI?,0.7261
3,What does make up the user interface of an interactive computer system?,What are the core components of an interactive system in HCI?,0.7599
4,What is a User?,How can user characteristics influence the design of a user interface?,0.4342
5,How can a user interact in human–computer interactions?,How do multimodal systems enhance user interaction?,0.6648
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do multimodal systems enhance user interaction?,0.555
7,Why does a user intentionally interact with an interactive computer system?,How do multimodal systems enhance user interaction?,0.5806
8,What does make up a complex user participation?,What are the primary goals of Human-Computer Interaction (HCI)?,0.4802
9,What is a human–computer interaction?,What are the primary goals of Human-Computer Interaction (HCI)?,0.6815
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do multimodal systems enhance user interaction?,0.5018
11,How is a user input processed by an interactive computer system?,What are the core components of an interactive system in HCI?,0.6026
12,How does a user receive an output from an interactive computer system?,What are the core components of an interactive system in HCI?,0.5158
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the core components of an interactive system in HCI?,0.585
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary goals of Human-Computer Interaction (HCI)?,0.6271
