,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main capabilities considered for user interaction in HCI?,0.5557
1,What is an interactive software system?,What are the main capabilities considered for user interaction in HCI?,0.5314
2,What is a complex interactive computer system?,What are the main capabilities considered for user interaction in HCI?,0.5768
3,What does make up the user interface of an interactive computer system?,What are the main capabilities considered for user interaction in HCI?,0.6272
4,What is a User?,What are the different types of user interfaces that can be generated based on user characteristics?,0.4863
5,How can a user interact in human–computer interactions?,What are the main capabilities considered for user interaction in HCI?,0.6284
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do physical and cognitive disabilities affect user interaction with computer systems?,0.5576
7,Why does a user intentionally interact with an interactive computer system?,How do physical and cognitive disabilities affect user interaction with computer systems?,0.5501
8,What does make up a complex user participation?,What are the main capabilities considered for user interaction in HCI?,0.479
9,What is a human–computer interaction?,What are the main capabilities considered for user interaction in HCI?,0.627
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do physical and cognitive disabilities affect user interaction with computer systems?,0.4646
11,How is a user input processed by an interactive computer system?,How do physical and cognitive disabilities affect user interaction with computer systems?,0.4964
12,How does a user receive an output from an interactive computer system?,What are the most common modalities for input and output interactions in HCI?,0.4449
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the most common modalities for input and output interactions in HCI?,0.5313
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main capabilities considered for user interaction in HCI?,0.4372
