,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.6513
1,What is an interactive software system?,What are the essential components needed for a multimodal interactive system?,0.613
2,What is a complex interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.6334
3,What does make up the user interface of an interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.6705
4,What is a User?,What activities and participations can a user perform in the information society according to his/her capabilities?,0.5175
5,How can a user interact in human–computer interactions?,How can user interactions with an adaptive interface be monitored and analyzed?,0.5477
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the essential components needed for a multimodal interactive system?,0.5571
7,Why does a user intentionally interact with an interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.5145
8,What does make up a complex user participation?,What activities and participations can a user perform in the information society according to his/her capabilities?,0.6331
9,What is a human–computer interaction?,What are the essential components needed for a multimodal interactive system?,0.518
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What activities and participations can a user perform in the information society according to his/her capabilities?,0.5712
11,How is a user input processed by an interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.5437
12,How does a user receive an output from an interactive computer system?,What are the essential components needed for a multimodal interactive system?,0.471
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the essential components needed for a multimodal interactive system?,0.5209
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What activities and participations can a user perform in the information society according to his/her capabilities?,0.4283
