,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.7019
1,What is an interactive software system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6784
2,What is a complex interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6408
3,What does make up the user interface of an interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.7598
4,What is a User?,What kind of information can be derived from user behavior to adapt interactive systems?,0.3901
5,How can a user interact in human–computer interactions?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6759
6,"Considering intentionality, how can a user interact with an interactive computer system?",What kind of information can be derived from user behavior to adapt interactive systems?,0.7138
7,Why does a user intentionally interact with an interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.705
8,What does make up a complex user participation?,What kind of information can be derived from user behavior to adapt interactive systems?,0.5054
9,What is a human–computer interaction?,What kind of information can be derived from user behavior to adapt interactive systems?,0.539
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What kind of information can be derived from user behavior to adapt interactive systems?,0.5179
11,How is a user input processed by an interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6614
12,How does a user receive an output from an interactive computer system?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6323
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What kind of information can be derived from user behavior to adapt interactive systems?,0.6608
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What kind of information can be derived from user behavior to adapt interactive systems?,0.5087
