,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of a human-computer interaction (HCI) system?,0.6357
1,What is an interactive software system?,What are the key components of a human-computer interaction (HCI) system?,0.5574
2,What is a complex interactive computer system?,What are the key components of a human-computer interaction (HCI) system?,0.6709
3,What does make up the user interface of an interactive computer system?,What are the key components of a human-computer interaction (HCI) system?,0.6904
4,What is a User?,What types of user profiles are maintained in HCI systems?,0.4552
5,How can a user interact in human–computer interactions?,What are the key components of a human-computer interaction (HCI) system?,0.6768
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can user interfaces be adapted based on user behavior?,0.591
7,Why does a user intentionally interact with an interactive computer system?,How do HCI systems infer user needs from user interactions?,0.6056
8,What does make up a complex user participation?,How do HCI systems infer user needs from user interactions?,0.5068
9,What is a human–computer interaction?,What are the key components of a human-computer interaction (HCI) system?,0.7291
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do HCI systems infer user needs from user interactions?,0.5293
11,How is a user input processed by an interactive computer system?,What are the key components of a human-computer interaction (HCI) system?,0.5487
12,How does a user receive an output from an interactive computer system?,How do HCI systems infer user needs from user interactions?,0.4881
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key components of a human-computer interaction (HCI) system?,0.5307
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How do HCI systems infer user needs from user interactions?,0.4778
