,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.712
1,What is an interactive software system?,What are the primary components and subcomponents of an interactive system in HCI?,0.6507
2,What is a complex interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.7157
3,What does make up the user interface of an interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.7369
4,What is a User?,What types of user impairments are considered in usability and accessibility ontologies?,0.3676
5,How can a user interact in human–computer interactions?,How can HCI ontologies support multimodal interaction systems?,0.5416
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary components and subcomponents of an interactive system in HCI?,0.5364
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.5366
8,What does make up a complex user participation?,How can user capabilities influence the selection of interaction modalities?,0.4541
9,What is a human–computer interaction?,What are the primary components and subcomponents of an interactive system in HCI?,0.5849
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can user capabilities influence the selection of interaction modalities?,0.4817
11,How is a user input processed by an interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.5859
12,How does a user receive an output from an interactive computer system?,What are the primary components and subcomponents of an interactive system in HCI?,0.507
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components and subcomponents of an interactive system in HCI?,0.5771
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can user capabilities influence the selection of interaction modalities?,0.3783
