,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the characteristics of input and output interaction modes in HCI?,0.4584
1,What is an interactive software system?,How does the interaction environment ontology relate to multi-device user interfaces?,0.418
2,What is a complex interactive computer system?,What are the characteristics of input and output interaction modes in HCI?,0.4947
3,What does make up the user interface of an interactive computer system?,What are the characteristics of input and output interaction modes in HCI?,0.5239
4,What is a User?,What activities and participations can a user perform in the information society according to their capabilities?,0.4873
5,How can a user interact in human–computer interactions?,How do impairments affect user interaction with ICT?,0.5464
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can user profiles be modeled to capture their abilities and disabilities in interactive systems?,0.4983
7,Why does a user intentionally interact with an interactive computer system?,Which information is necessary to infer user needs from interaction data?,0.4717
8,What does make up a complex user participation?,What activities and participations can a user perform in the information society according to their capabilities?,0.6257
9,What is a human–computer interaction?,How do impairments affect user interaction with ICT?,0.4795
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What activities and participations can a user perform in the information society according to their capabilities?,0.5604
11,How is a user input processed by an interactive computer system?,What are the characteristics of input and output interaction modes in HCI?,0.5217
12,How does a user receive an output from an interactive computer system?,What are the characteristics of input and output interaction modes in HCI?,0.5019
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the characteristics of input and output interaction modes in HCI?,0.5638
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What activities and participations can a user perform in the information society according to their capabilities?,0.413
