,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the user characteristics that influence interaction with computer systems?,0.6711
1,What is an interactive software system?,What are the user characteristics that influence interaction with computer systems?,0.5791
2,What is a complex interactive computer system?,What are the user characteristics that influence interaction with computer systems?,0.6383
3,What does make up the user interface of an interactive computer system?,What are the user characteristics that influence interaction with computer systems?,0.7416
4,What is a User?,What are the main activities users perform with computer systems?,0.4634
5,How can a user interact in human–computer interactions?,What are the user characteristics that influence interaction with computer systems?,0.7267
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the user characteristics that influence interaction with computer systems?,0.6522
7,Why does a user intentionally interact with an interactive computer system?,What are the user characteristics that influence interaction with computer systems?,0.685
8,What does make up a complex user participation?,What are the main activities users perform with computer systems?,0.5264
9,What is a human–computer interaction?,What capabilities are necessary for users to perform specific activities in human-computer interaction?,0.6791
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the user characteristics that influence interaction with computer systems?,0.5576
11,How is a user input processed by an interactive computer system?,How do input modalities affect user interaction in computer systems?,0.6641
12,How does a user receive an output from an interactive computer system?,How do output modalities affect user interaction in computer systems?,0.5738
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do input modalities affect user interaction in computer systems?,0.6386
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What capabilities are necessary for users to perform specific activities in human-computer interaction?,0.5281
