,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of a semantic model for interactive systems?,0.6599
1,What is an interactive software system?,What are the key components of a semantic model for interactive systems?,0.6472
2,What is a complex interactive computer system?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.6466
3,What does make up the user interface of an interactive computer system?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.6674
4,What is a User?,How do user characteristics influence interface customization in human-computer interaction?,0.3389
5,How can a user interact in human–computer interactions?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.6851
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is user interaction data collected and used to infer adaptive behaviors in HCI systems?,0.535
7,Why does a user intentionally interact with an interactive computer system?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.5423
8,What does make up a complex user participation?,How does activity-centered design influence the development of HCI systems?,0.4626
9,What is a human–computer interaction?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.6683
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do user characteristics influence interface customization in human-computer interaction?,0.5049
11,How is a user input processed by an interactive computer system?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.6896
12,How does a user receive an output from an interactive computer system?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.608
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.7051
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary methods of interaction (input/output) used in human-computer interaction systems?,0.4625
