,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.5029
1,What is an interactive software system?,What types of input and output modalities support user interaction in various contexts?,0.4545
2,What is a complex interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.457
3,What does make up the user interface of an interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.5731
4,What is a User?,What activities and participations can a user perform in the information society according to his/her capabilities?,0.5175
5,How can a user interact in human–computer interactions?,How do user modeling algorithms contribute to improving human-computer interaction?,0.6267
6,"Considering intentionality, how can a user interact with an interactive computer system?",What types of input and output modalities support user interaction in various contexts?,0.4847
7,Why does a user intentionally interact with an interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.4841
8,What does make up a complex user participation?,What activities and participations can a user perform in the information society according to his/her capabilities?,0.6331
9,What is a human–computer interaction?,How do user modeling algorithms contribute to improving human-computer interaction?,0.5313
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What activities and participations can a user perform in the information society according to his/her capabilities?,0.5712
11,How is a user input processed by an interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.6196
12,How does a user receive an output from an interactive computer system?,What types of input and output modalities support user interaction in various contexts?,0.5754
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output modalities support user interaction in various contexts?,0.6475
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How do user modeling algorithms contribute to improving human-computer interaction?,0.4572
