,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.5215
1,What is an interactive software system?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.4487
2,What is a complex interactive computer system?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.5381
3,What does make up the user interface of an interactive computer system?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.6216
4,What is a User?,How are user profiles modeled within HCI ontologies?,0.396
5,How can a user interact in human–computer interactions?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.6581
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does multimodality enhance the interaction between users and systems?,0.5478
7,Why does a user intentionally interact with an interactive computer system?,How does multimodality enhance the interaction between users and systems?,0.5944
8,What does make up a complex user participation?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.4913
9,What is a human–computer interaction?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.6629
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How does multimodality enhance the interaction between users and systems?,0.5288
11,How is a user input processed by an interactive computer system?,How does multimodality enhance the interaction between users and systems?,0.4634
12,How does a user receive an output from an interactive computer system?,How does multimodality enhance the interaction between users and systems?,0.4295
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do input and output modalities influence the effectiveness of HCI?,0.4562
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main user characteristics that affect human-computer interaction (HCI)?,0.4726
