,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core concepts necessary to model the interaction between users and ICTs?,0.5834
1,What is an interactive software system?,How can user-system interaction data be used to enhance the user experience in HCI?,0.5522
2,What is a complex interactive computer system?,What are the core concepts necessary to model the interaction between users and ICTs?,0.5786
3,What does make up the user interface of an interactive computer system?,Which user characteristics are important for adapting human-computer interfaces?,0.667
4,What is a User?,How are user impairments defined and categorized in the ACCESIBILITIC ontology?,0.4221
5,How can a user interact in human–computer interactions?,How can user-system interaction data be used to enhance the user experience in HCI?,0.6718
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can user-system interaction data be used to enhance the user experience in HCI?,0.58
7,Why does a user intentionally interact with an interactive computer system?,How can user-system interaction data be used to enhance the user experience in HCI?,0.5803
8,What does make up a complex user participation?,How can user activities be modeled in HCI systems?,0.5401
9,What is a human–computer interaction?,Which user characteristics are important for adapting human-computer interfaces?,0.5918
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the core concepts necessary to model the interaction between users and ICTs?,0.5079
11,How is a user input processed by an interactive computer system?,How can user-system interaction data be used to enhance the user experience in HCI?,0.5321
12,How does a user receive an output from an interactive computer system?,How can user-system interaction data be used to enhance the user experience in HCI?,0.4685
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How can user-system interaction data be used to enhance the user experience in HCI?,0.5158
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,Which user characteristics are important for adapting human-computer interfaces?,0.4616
