,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary modalities used in human-computer interaction?,0.5906
1,What is an interactive software system?,What are the primary modalities used in human-computer interaction?,0.4907
2,What is a complex interactive computer system?,What are the primary modalities used in human-computer interaction?,0.6051
3,What does make up the user interface of an interactive computer system?,What are the primary modalities used in human-computer interaction?,0.6484
4,What is a User?,How can an ontology be used to represent user profiles in HCI systems?,0.4042
5,How can a user interact in human–computer interactions?,What are the primary modalities used in human-computer interaction?,0.6843
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does the system adapt the user interface based on a user's sensory and motor abilities?,0.515
7,Why does a user intentionally interact with an interactive computer system?,What are the primary modalities used in human-computer interaction?,0.5111
8,What does make up a complex user participation?,What are the primary modalities used in human-computer interaction?,0.4684
9,What is a human–computer interaction?,What are the primary modalities used in human-computer interaction?,0.6969
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can multimodal systems improve human-computer interaction?,0.4566
11,How is a user input processed by an interactive computer system?,How does the system adapt the user interface based on a user's sensory and motor abilities?,0.5798
12,How does a user receive an output from an interactive computer system?,What physical devices are used to deliver output information in human-computer interaction?,0.598
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What physical devices are used to deliver output information in human-computer interaction?,0.5804
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What output modalities are commonly used in human-computer interaction?,0.4608
