,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,Which devices serve as output mediums in an interactive system?,0.5629
1,What is an interactive software system?,Which devices serve as output mediums in an interactive system?,0.4744
2,What is a complex interactive computer system?,What are the core interaction modes in human-computer interaction?,0.5799
3,What does make up the user interface of an interactive computer system?,What are the core interaction modes in human-computer interaction?,0.6107
4,What is a User?,"What role does user profile (abilities, preferences, skills) play in adapting user interfaces?",0.3613
5,How can a user interact in human–computer interactions?,What are the core interaction modes in human-computer interaction?,0.6079
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do multimodal systems enhance the user interaction experience compared to single-modality systems?,0.4801
7,Why does a user intentionally interact with an interactive computer system?,How do multimodal systems enhance the user interaction experience compared to single-modality systems?,0.4838
8,What does make up a complex user participation?,What are the core interaction modes in human-computer interaction?,0.4326
9,What is a human–computer interaction?,What are the core interaction modes in human-computer interaction?,0.6403
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do multimodal systems enhance the user interaction experience compared to single-modality systems?,0.4099
11,How is a user input processed by an interactive computer system?,Which devices serve as output mediums in an interactive system?,0.5112
12,How does a user receive an output from an interactive computer system?,Which devices serve as output mediums in an interactive system?,0.6131
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,Which devices serve as output mediums in an interactive system?,0.563
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core interaction modes in human-computer interaction?,0.4282
