,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What types of user profiles are considered in human-computer interaction?,0.4724
1,What is an interactive software system?,What semantic technologies enable interoperability in HCI systems?,0.4458
2,What is a complex interactive computer system?,What semantic technologies enable interoperability in HCI systems?,0.4538
3,What does make up the user interface of an interactive computer system?,What types of user profiles are considered in human-computer interaction?,0.5718
4,What is a User?,What types of user profiles are considered in human-computer interaction?,0.5471
5,How can a user interact in human–computer interactions?,What types of user profiles are considered in human-computer interaction?,0.577
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can ontological reasoning improve adaptive user interfaces?,0.4423
7,Why does a user intentionally interact with an interactive computer system?,What types of user profiles are considered in human-computer interaction?,0.439
8,What does make up a complex user participation?,What types of user profiles are considered in human-computer interaction?,0.4594
9,What is a human–computer interaction?,What types of user profiles are considered in human-computer interaction?,0.5497
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What types of user profiles are considered in human-computer interaction?,0.428
11,How is a user input processed by an interactive computer system?,What rules are used to derive input modalities based on user characteristics?,0.4558
12,How does a user receive an output from an interactive computer system?,What types of user profiles are considered in human-computer interaction?,0.3416
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What rules are used to derive input modalities based on user characteristics?,0.4709
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How is contextual knowledge represented in mobile environments for HCI?,0.3458
