,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the different types of interaction components in HCI?,0.494
1,What is an interactive software system?,What are the different types of interaction components in HCI?,0.4439
2,What is a complex interactive computer system?,What are the different types of interaction components in HCI?,0.5534
3,What does make up the user interface of an interactive computer system?,What are the primary user characteristics that influence the design of adaptive user interfaces in HCI?,0.6027
4,What is a User?,What are the necessary conditions for a system to adapt its interface based on user profiles?,0.3565
5,How can a user interact in human–computer interactions?,How do context and situational factors influence the adaptation of user interfaces in HCI?,0.5532
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do context and situational factors influence the adaptation of user interfaces in HCI?,0.4524
7,Why does a user intentionally interact with an interactive computer system?,How do context and situational factors influence the adaptation of user interfaces in HCI?,0.4671
8,What does make up a complex user participation?,What are the primary user characteristics that influence the design of adaptive user interfaces in HCI?,0.4251
9,What is a human–computer interaction?,What are the different types of interaction components in HCI?,0.5457
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary user characteristics that influence the design of adaptive user interfaces in HCI?,0.4255
11,How is a user input processed by an interactive computer system?,What are some examples of input and output media in HCI systems?,0.4882
12,How does a user receive an output from an interactive computer system?,What are some examples of input and output media in HCI systems?,0.5025
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are some examples of input and output media in HCI systems?,0.5333
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary user characteristics that influence the design of adaptive user interfaces in HCI?,0.401
