,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the different configurations and designs for interactive systems based on modality?,0.6476
1,What is an interactive software system?,What are the different configurations and designs for interactive systems based on modality?,0.5863
2,What is a complex interactive computer system?,What are the different configurations and designs for interactive systems based on modality?,0.6445
3,What does make up the user interface of an interactive computer system?,What are the different configurations and designs for interactive systems based on modality?,0.68
4,What is a User?,How can user profile ontologies be used to assist people with specific needs in mobile environments?,0.3685
5,How can a user interact in human–computer interactions?,What input and output modalities are used in human-computer interaction?,0.6097
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the different configurations and designs for interactive systems based on modality?,0.5111
7,Why does a user intentionally interact with an interactive computer system?,What are the primary goals of human-computer interaction research?,0.4893
8,What does make up a complex user participation?,What are the primary goals of human-computer interaction research?,0.4805
9,What is a human–computer interaction?,What are the primary goals of human-computer interaction research?,0.6794
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary goals of human-computer interaction research?,0.4994
11,How is a user input processed by an interactive computer system?,What input and output modalities are used in human-computer interaction?,0.6422
12,How does a user receive an output from an interactive computer system?,What input and output modalities are used in human-computer interaction?,0.5667
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What input and output modalities are used in human-computer interaction?,0.691
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary goals of human-computer interaction research?,0.6474
