,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.6944
1,What is an interactive software system?,What are the core components of an interactive system in the HCI domain?,0.6376
2,What is a complex interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.7062
3,What does make up the user interface of an interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.7228
4,What is a User?,How can ontologies be used to model user profiles in HCI systems?,0.3829
5,How can a user interact in human–computer interactions?,What are the core components of an interactive system in the HCI domain?,0.528
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core components of an interactive system in the HCI domain?,0.5327
7,Why does a user intentionally interact with an interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.5517
8,What does make up a complex user participation?,What are the core components of an interactive system in the HCI domain?,0.4441
9,What is a human–computer interaction?,What are the core components of an interactive system in the HCI domain?,0.5872
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can user characteristics influence the adaptation of interfaces?,0.3933
11,How is a user input processed by an interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.5742
12,How does a user receive an output from an interactive computer system?,What are the core components of an interactive system in the HCI domain?,0.4983
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the core components of an interactive system in the HCI domain?,0.5633
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core components of an interactive system in the HCI domain?,0.393
