,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary modes of interaction between humans and computers?,0.6344
1,What is an interactive software system?,What are the challenges of achieving semantic interoperability in interactive systems?,0.5877
2,What is a complex interactive computer system?,What are the primary modes of interaction between humans and computers?,0.6473
3,What does make up the user interface of an interactive computer system?,What are the primary modes of interaction between humans and computers?,0.6701
4,What is a User?,What are the different types of adaptive interfaces that can be generated based on user profiles?,0.3267
5,How can a user interact in human–computer interactions?,What are the primary modes of interaction between humans and computers?,0.7809
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary modes of interaction between humans and computers?,0.5902
7,Why does a user intentionally interact with an interactive computer system?,What are the primary modes of interaction between humans and computers?,0.5884
8,What does make up a complex user participation?,What are the primary modes of interaction between humans and computers?,0.4568
9,What is a human–computer interaction?,What are the primary modes of interaction between humans and computers?,0.78
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary modes of interaction between humans and computers?,0.5149
11,How is a user input processed by an interactive computer system?,What different input and output modalities can be used in human-computer interaction?,0.587
12,How does a user receive an output from an interactive computer system?,What different input and output modalities can be used in human-computer interaction?,0.5307
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What different input and output modalities can be used in human-computer interaction?,0.6364
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary modes of interaction between humans and computers?,0.478
