,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What types of input and output modalities exist for user interaction?,0.5168
1,What is an interactive software system?,How can the reasoning process be applied to adapt user interfaces?,0.4631
2,What is a complex interactive computer system?,What are the different types of interaction components in HCI?,0.5534
3,What does make up the user interface of an interactive computer system?,What types of input and output modalities exist for user interaction?,0.5969
4,What is a User?,What are the core concepts related to user profiles in HCI?,0.4571
5,How can a user interact in human–computer interactions?,What types of input and output modalities exist for user interaction?,0.5635
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can the reasoning process be applied to adapt user interfaces?,0.5451
7,Why does a user intentionally interact with an interactive computer system?,How can the reasoning process be applied to adapt user interfaces?,0.4919
8,What does make up a complex user participation?,What are the core concepts related to user profiles in HCI?,0.472
9,What is a human–computer interaction?,What are the different types of interaction components in HCI?,0.5457
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can the reasoning process be applied to adapt user interfaces?,0.4097
11,How is a user input processed by an interactive computer system?,What types of input and output modalities exist for user interaction?,0.6248
12,How does a user receive an output from an interactive computer system?,What types of input and output modalities exist for user interaction?,0.5575
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output modalities exist for user interaction?,0.6551
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can the reasoning process be applied to adapt user interfaces?,0.3955
