,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of an interaction model for HCI?,0.486
1,What is an interactive software system?,What are the key components of an interaction model for HCI?,0.4526
2,What is a complex interactive computer system?,What are the key components of an interaction model for HCI?,0.5436
3,What does make up the user interface of an interactive computer system?,What characteristics of users are essential for adaptive interface design?,0.5899
4,What is a User?,What characteristics of users are essential for adaptive interface design?,0.4443
5,How can a user interact in human–computer interactions?,How do sensory and motor abilities influence the interaction modalities that can be used by a user?,0.591
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do sensory and motor abilities influence the interaction modalities that can be used by a user?,0.4683
7,Why does a user intentionally interact with an interactive computer system?,What characteristics of users are essential for adaptive interface design?,0.4531
8,What does make up a complex user participation?,What characteristics of users are essential for adaptive interface design?,0.4692
9,What is a human–computer interaction?,What are the key components of an interaction model for HCI?,0.5486
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What characteristics of users are essential for adaptive interface design?,0.4305
11,How is a user input processed by an interactive computer system?,How do sensory and motor abilities influence the interaction modalities that can be used by a user?,0.4479
12,How does a user receive an output from an interactive computer system?,How are input and output modalities differentiated in HCI?,0.3637
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How are input and output modalities differentiated in HCI?,0.4628
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How do sensory and motor abilities influence the interaction modalities that can be used by a user?,0.3757
