,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of human-computer interaction systems?,0.6584
1,What is an interactive software system?,What are the core components of human-computer interaction systems?,0.5676
2,What is a complex interactive computer system?,What are the core components of human-computer interaction systems?,0.6793
3,What does make up the user interface of an interactive computer system?,What are the core components of human-computer interaction systems?,0.7072
4,What is a User?,What are the different user characteristics that affect the design of adaptive user interfaces?,0.3405
5,How can a user interact in human–computer interactions?,What are the core components of human-computer interaction systems?,0.6457
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core components of human-computer interaction systems?,0.515
7,Why does a user intentionally interact with an interactive computer system?,What are the core components of human-computer interaction systems?,0.5303
8,What does make up a complex user participation?,How can modalities be categorized in human-computer interaction?,0.467
9,What is a human–computer interaction?,What are the core components of human-computer interaction systems?,0.7107
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can modalities be categorized in human-computer interaction?,0.4401
11,How is a user input processed by an interactive computer system?,What are the core components of human-computer interaction systems?,0.5341
12,How does a user receive an output from an interactive computer system?,What are the core components of human-computer interaction systems?,0.4248
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the core components of human-computer interaction systems?,0.517
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core components of human-computer interaction systems?,0.4642
