,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key sensory systems involved in human-computer interaction?,0.58
1,What is an interactive software system?,What are the key sensory systems involved in human-computer interaction?,0.4785
2,What is a complex interactive computer system?,What are the key sensory systems involved in human-computer interaction?,0.5936
3,What does make up the user interface of an interactive computer system?,What are the key sensory systems involved in human-computer interaction?,0.6098
4,What is a User?,How do different input and output modalities relate to user profiles?,0.3658
5,How can a user interact in human–computer interactions?,What are the key sensory systems involved in human-computer interaction?,0.6635
6,"Considering intentionality, how can a user interact with an interactive computer system?",In what ways can semantic reasoning enhance the interaction experience for users with varying abilities?,0.5188
7,Why does a user intentionally interact with an interactive computer system?,In what ways can semantic reasoning enhance the interaction experience for users with varying abilities?,0.4796
8,What does make up a complex user participation?,How can an ontology-based approach improve the socio-economic conditions of users by enhancing their interaction with systems?,0.4046
9,What is a human–computer interaction?,What are the key sensory systems involved in human-computer interaction?,0.6642
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",In what ways can semantic reasoning enhance the interaction experience for users with varying abilities?,0.4399
11,How is a user input processed by an interactive computer system?,What are the key sensory systems involved in human-computer interaction?,0.5622
12,How does a user receive an output from an interactive computer system?,What types of input and output interactions can be modeled in an HCI ontology?,0.4586
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output interactions can be modeled in an HCI ontology?,0.5382
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key sensory systems involved in human-computer interaction?,0.432
