,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What roles do physical devices play in mediating user interaction within an HCI system?,0.5028
1,What is an interactive software system?,What is the process for reasoning about user interactions using ontological models?,0.5026
2,What is a complex interactive computer system?,What are the different modalities of interaction used in HCI?,0.5109
3,What does make up the user interface of an interactive computer system?,What roles do physical devices play in mediating user interaction within an HCI system?,0.5783
4,What is a User?,"How can user characteristics, such as abilities and disabilities, be described and modeled in an ontology?",0.4349
5,How can a user interact in human–computer interactions?,What is the process for reasoning about user interactions using ontological models?,0.5999
6,"Considering intentionality, how can a user interact with an interactive computer system?",What is the process for reasoning about user interactions using ontological models?,0.5455
7,Why does a user intentionally interact with an interactive computer system?,What is the process for reasoning about user interactions using ontological models?,0.5274
8,What does make up a complex user participation?,What is the process for reasoning about user interactions using ontological models?,0.4509
9,What is a human–computer interaction?,What are the primary sensory modes considered in human-computer interaction?,0.5644
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What is the process for reasoning about user interactions using ontological models?,0.455
11,How is a user input processed by an interactive computer system?,What is the process for reasoning about user interactions using ontological models?,0.5071
12,How does a user receive an output from an interactive computer system?,What roles do physical devices play in mediating user interaction within an HCI system?,0.4327
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What is the process for reasoning about user interactions using ontological models?,0.4806
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What is the process for reasoning about user interactions using ontological models?,0.3896
