,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core interaction modalities involved in Human-Computer Interaction?,0.5902
1,What is an interactive software system?,What are the core interaction modalities involved in Human-Computer Interaction?,0.4876
2,What is a complex interactive computer system?,What are the core interaction modalities involved in Human-Computer Interaction?,0.6188
3,What does make up the user interface of an interactive computer system?,What are the core interaction modalities involved in Human-Computer Interaction?,0.6549
4,What is a User?,What is the process for developing a user profile ontology for HCI?,0.3274
5,How can a user interact in human–computer interactions?,What are the core interaction modalities involved in Human-Computer Interaction?,0.7088
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can multimodal systems enhance user interaction in diverse contexts?,0.5457
7,Why does a user intentionally interact with an interactive computer system?,How can multimodal systems enhance user interaction in diverse contexts?,0.5491
8,What does make up a complex user participation?,What are the core interaction modalities involved in Human-Computer Interaction?,0.4861
9,What is a human–computer interaction?,What are the core interaction modalities involved in Human-Computer Interaction?,0.7288
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can multimodal systems enhance user interaction in diverse contexts?,0.4992
11,How is a user input processed by an interactive computer system?,What types of input devices are typically used in HCI systems?,0.5399
12,How does a user receive an output from an interactive computer system?,What types of output devices are typically involved in HCI systems?,0.4896
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input devices are typically used in HCI systems?,0.5277
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core interaction modalities involved in Human-Computer Interaction?,0.4745
