,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How can an ontology be used to model the interaction between users and computer systems?,0.6201
1,What is an interactive software system?,How can an ontology be used to model the interaction between users and computer systems?,0.5676
2,What is a complex interactive computer system?,What are the main components of human-computer interaction in terms of input and output modalities?,0.6168
3,What does make up the user interface of an interactive computer system?,What are the main components of human-computer interaction in terms of input and output modalities?,0.6828
4,What is a User?,How can an ontology be used to model the interaction between users and computer systems?,0.394
5,How can a user interact in human–computer interactions?,What are the main components of human-computer interaction in terms of input and output modalities?,0.6718
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can an ontology be used to model the interaction between users and computer systems?,0.5999
7,Why does a user intentionally interact with an interactive computer system?,How can an ontology be used to model the interaction between users and computer systems?,0.55
8,What does make up a complex user participation?,"How do different levels of user capacities (e.g., Good, Moderate, Low, Severe) affect the selection of interaction modalities?",0.4438
9,What is a human–computer interaction?,What are the main components of human-computer interaction in terms of input and output modalities?,0.6959
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can an ontology be used to model the interaction between users and computer systems?,0.4571
11,How is a user input processed by an interactive computer system?,What are the main components of human-computer interaction in terms of input and output modalities?,0.6676
12,How does a user receive an output from an interactive computer system?,What are the main components of human-computer interaction in terms of input and output modalities?,0.5894
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components of human-computer interaction in terms of input and output modalities?,0.7052
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main components of human-computer interaction in terms of input and output modalities?,0.5002
