,genCQs,best_expertCQs,best_cos_score
0,Which era of RE research has seen the most advancements in tools and techniques?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5782
1,Which country has contributed the most to RE research and during which periods?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5169
2,In what contexts have empirical RE studies been conducted over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.8021
3,How have empirical research interventions evolved in various RE knowledge areas over time?,How has the proportion of empirical studies evolved over time?,0.6235
4,What research methods are most frequently used in primary RE studies?,How often are which statistical methods used?,0.6287
5,What types of participants are often involved in RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7209
6,Which data collection methods are most common in RE empirical research?,How often are which empirical methods used?,0.7012
7,What is the frequency distribution of different research types in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.528
8,How rigorous is the reported research in different core RE areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5728
9,What are the main themes emerging from aggregated RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6215
10,"What tools, techniques, and frameworks are identified as most useful in RE research?",Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.526
11,What are the major focus areas in empirical RE research since 2000?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7522
12,What are the emerging trends in non-functional requirements research within RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.485
13,How is the research focus shifting between different sub-areas of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.609
14,How often do RE studies propose new interventions versus evaluating existing ones?,How has the reporting of the objects of study / treatments evolved over time?,0.565
15,In what channels are empirical RE studies most frequently published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7602
16,What are the geographical trends in RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6843
17,How has the use of case studies and experiments in RE evolved?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6663
18,What are the notable gaps in empirical research on requirements validation and verification?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4528
19,How has the interest in requirements evolvement and privacy requirements changed over time?,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",0.4539
20,Which RE areas lack empirical research despite their recognized importance?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6434
21,What future directions are suggested for empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6953
22,How do empirical RE studies address real-world industry challenges?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.541
23,What are the main types of interventions proposed in RE empirical research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6431
24,How are research interventions categorized within core RE areas?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5022
25,How frequently are guidelines proposed in RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6537
26,What trends are observed in the publication of RE empirical research in journals versus conferences?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.686
27,What impact does the emerging area of non-functional requirements have on RE research?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4902
28,In which domains are empirical RE studies most often conducted?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.8006
29,What are the significant findings from systematic literature reviews in RE?,How many publications are analyzed in (systematic literature) reviews?,0.7318
30,How are empirical studies distributed across various RE sub-areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7406
31,How are practical considerations of RE addressed in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6631
32,What methodological approaches are used in requirements elicitation studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4904
