,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the focus of empirical RE studies shifted over time?,0.7807
1,How often are which empirical methods used over time?,How has the adoption of empirical methods in RE evolved over the last decade?,0.7733
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How has the focus of empirical RE studies shifted over time?,0.8289
3, How do the authors justify the lack of a proper study?,What are the main reasons for the gap between RE research and practice?,0.5069
4,How has the proportion of papers that do not have an empirical study evolved over time?,How has the focus of empirical RE studies shifted over time?,0.6563
5,How many empirical studies are by authors working for large software development companies?,What types of empirical studies are most commonly conducted in RE?,0.5968
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How has the focus of empirical RE studies shifted over time?,0.562
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the focus of empirical RE studies shifted over time?,0.6143
8,How do the authors justify the selection and combination of empirical methods and design elements?,How has the adoption of empirical methods in RE evolved over the last decade?,0.7185
9,How often are which empirical methods used?,How has the adoption of empirical methods in RE evolved over the last decade?,0.7568
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How has the adoption of empirical methods in RE evolved over the last decade?,0.6682
11,How has the proportion of replications evolved over time?,How has the focus of empirical RE studies shifted over time?,0.3512
12,How has the use of triangulation for research design evolved over time?,How has RE research contributed to the development of new techniques and tools?,0.4822
13,How often are those who conduct the studies also the authors of the papers?,What types of empirical studies are most commonly conducted in RE?,0.5038
14,How do the authors justify preventing bias in the study results?,How does the heterogeneity of study participants impact the findings of empirical RE studies?,0.5653
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How has the adoption of empirical methods in RE evolved over the last decade?,0.5047
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How has the adoption of empirical methods in RE evolved over the last decade?,0.6619
17,How often are which statistical methods used?,What types of empirical studies are most commonly conducted in RE?,0.6185
18,How has the use of statistical methods evolved over time?,How has the adoption of empirical methods in RE evolved over the last decade?,0.6833
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How has the adoption of empirical methods in RE evolved over the last decade?,0.4781
20,How has the definition of the population evolved over time?,How has the focus of empirical RE studies shifted over time?,0.3474
21,How has the use of power analysis and effect size estimation evolved over time?,How has the adoption of empirical methods in RE evolved over the last decade?,0.4031
22,How has the reporting of threats to validity evolved over time?,What are the commonly reported factors hindering the adoption of RE practices?,0.3726
23,What types of threats to validity do the authors report?,What are the commonly reported factors hindering the adoption of RE practices?,0.3752
