,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.5473
1,How often are which empirical methods used over time?,What types of empirical methods are most commonly used in Requirements Engineering studies?,0.6246
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How is the feedback from empirical studies integrated into practice improvements?,0.5062
3, How do the authors justify the lack of a proper study?,How is the feedback from empirical studies integrated into practice improvements?,0.5076
4,How has the proportion of papers that do not have an empirical study evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.4738
5,How many empirical studies are by authors working for large software development companies?,How are empirical research findings disseminated to practitioners in Requirements Engineering?,0.5571
6,How has the proportion of studies by authors working for large software development companies evolved over time?,What are the incentives for organizations to participate in empirical studies on Requirements Engineering?,0.5043
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How is the feedback from empirical studies integrated into practice improvements?,0.4758
8,How do the authors justify the selection and combination of empirical methods and design elements?,How do different empirical methods complement each other in Requirements Engineering research?,0.6766
9,How often are which empirical methods used?,What types of empirical methods are most commonly used in Requirements Engineering studies?,0.6862
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How is the feedback from empirical studies integrated into practice improvements?,0.5658
11,How has the proportion of replications evolved over time?,What are the challenges in replicating empirical studies in Requirements Engineering?,0.2361
12,How has the use of triangulation for research design evolved over time?,How has the role of empirical research in Requirements Engineering evolved over time?,0.3713
13,How often are those who conduct the studies also the authors of the papers?,How is the feedback from empirical studies integrated into practice improvements?,0.3203
14,How do the authors justify preventing bias in the study results?,How is the feedback from empirical studies integrated into practice improvements?,0.4881
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.4862
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.4746
17,How often are which statistical methods used?,What types of empirical methods are most commonly used in Requirements Engineering studies?,0.5247
18,How has the use of statistical methods evolved over time?,How has the role of empirical research in Requirements Engineering evolved over time?,0.4113
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,What are the limitations of current empirical research methods in Requirements Engineering?,0.4102
20,How has the definition of the population evolved over time?,How has the role of empirical research in Requirements Engineering evolved over time?,0.1847
21,How has the use of power analysis and effect size estimation evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.3451
22,How has the reporting of threats to validity evolved over time?,How is the reliability of empirical studies in Requirements Engineering ensured?,0.3355
23,What types of threats to validity do the authors report?,How is the reliability of empirical studies in Requirements Engineering ensured?,0.3241
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.4977
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.5624
26,How has the reporting of the subjects evolved over time?,How has the role of empirical research in Requirements Engineering evolved over time?,0.3758
27,How has the reporting of the objects of study / treatments evolved over time?,How is the feedback from empirical studies integrated into practice improvements?,0.5207
