,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the focus on empirical RE research methods evolved over the years?,0.6774
1,How often are which empirical methods used over time?,How often are mixed methods used in empirical RE studies?,0.7697
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How has the focus on empirical RE research methods evolved over the years?,0.7274
3, How do the authors justify the lack of a proper study?,How can the quality and relevance of empirical RE studies be improved?,0.5423
4,How has the proportion of papers that do not have an empirical study evolved over time?,How has the focus on empirical RE research methods evolved over the years?,0.5862
5,How many empirical studies are by authors working for large software development companies?,How frequently are case studies used in empirical RE research?,0.6073
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How frequently are case studies used in empirical RE research?,0.5587
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the focus on empirical RE research methods evolved over the years?,0.6102
8,How do the authors justify the selection and combination of empirical methods and design elements?,How do empirical research methods compare to non-empirical approaches in RE?,0.6802
9,How often are which empirical methods used?,How often are mixed methods used in empirical RE studies?,0.7929
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How has the focus on empirical RE research methods evolved over the years?,0.6832
11,How has the proportion of replications evolved over time?,How often are empirical findings in RE replicated in subsequent studies?,0.495
12,How has the use of triangulation for research design evolved over time?,How has the focus on empirical RE research methods evolved over the years?,0.4306
13,How often are those who conduct the studies also the authors of the papers?,How often are surveys used as a method for empirical research in RE?,0.4897
14,How do the authors justify preventing bias in the study results?,How can the quality and relevance of empirical RE studies be improved?,0.4832
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How can empirical evidence inform improvements in RE practices?,0.4678
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,What are the trends in RE practice adoption among large companies compared to SMEs?,0.6097
17,How often are which statistical methods used?,How often are mixed methods used in empirical RE studies?,0.69
18,How has the use of statistical methods evolved over time?,How has the focus on empirical RE research methods evolved over the years?,0.5735
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How often are mixed methods used in empirical RE studies?,0.4953
20,How has the definition of the population evolved over time?,How has the adoption of RE practices evolved over time?,0.3214
21,How has the use of power analysis and effect size estimation evolved over time?,What are the typical sample sizes for empirical RE studies?,0.4164
22,How has the reporting of threats to validity evolved over time?,How are the findings from empirical RE studies typically validated?,0.3934
23,What types of threats to validity do the authors report?,How are the findings from empirical RE studies typically validated?,0.4511
