,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5724
1,How often are which empirical methods used over time?,How are RE techniques evaluated in empirical studies?,0.6128
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How has the use of empirical methods in RE research influenced RE practices?,0.6271
3, How do the authors justify the lack of a proper study?,How has the gap between research and practice in RE evolved over time?,0.4319
4,How has the proportion of papers that do not have an empirical study evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5165
5,How many empirical studies are by authors working for large software development companies?,How has the use of empirical methods in RE research influenced RE practices?,0.4601
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How has the evolution of RE impacted the software development lifecycle?,0.5024
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the gap between research and practice in RE evolved over time?,0.6496
8,How do the authors justify the selection and combination of empirical methods and design elements?,How are RE techniques evaluated in empirical studies?,0.5576
9,How often are which empirical methods used?,How are RE techniques evaluated in empirical studies?,0.6443
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How has the gap between research and practice in RE evolved over time?,0.5644
11,How has the proportion of replications evolved over time?,How has the gap between research and practice in RE evolved over time?,0.4137
12,How has the use of triangulation for research design evolved over time?,How has the gap between research and practice in RE evolved over time?,0.44
13,How often are those who conduct the studies also the authors of the papers?,How do interdisciplinary studies contribute to RE?,0.4111
14,How do the authors justify preventing bias in the study results?,How are RE techniques evaluated in empirical studies?,0.3751
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5035
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How have RE practices changed in response to technological advancements?,0.6581
17,How often are which statistical methods used?,How are RE techniques evaluated in empirical studies?,0.4845
18,How has the use of statistical methods evolved over time?,How has the gap between research and practice in RE evolved over time?,0.4521
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How are RE techniques evaluated in empirical studies?,0.3642
20,How has the definition of the population evolved over time?,How has the gap between research and practice in RE evolved over time?,0.3943
21,How has the use of power analysis and effect size estimation evolved over time?,How are RE techniques evaluated in empirical studies?,0.3578
22,How has the reporting of threats to validity evolved over time?,What new RE practices have emerged in the last decade?,0.2964
23,What types of threats to validity do the authors report?,What are the most common problems encountered in RE practice?,0.3158
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5533
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How has the use of empirical methods in RE research influenced RE practices?,0.5723
26,How has the reporting of the subjects evolved over time?,How has the gap between research and practice in RE evolved over time?,0.4472
27,How has the reporting of the objects of study / treatments evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5297
28,How has the reporting of the tasks evolved over time?,What new RE practices have emerged in the last decade?,0.4407
29,How has the reporting of the setting evolved over time?,What new RE practices have emerged in the last decade?,0.4363
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,How has RE research adapted to the needs of industry over time?,0.452
31,How has the the reporting of the population evolved over time?,How has the gap between research and practice in RE evolved over time?,0.3505
32,How has the reporting of the context evolved over time?,How has empirical research contributed to the understanding of RE practices?,0.3747
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,What are the common themes in RE case studies from the industry?,0.3319
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,How are RE techniques evaluated in empirical studies?,0.2922
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,What are the common themes in RE case studies from the industry?,0.3487
36,Do the authors report the selected context of their study with specific characteristics?,What are the common themes in RE case studies from the industry?,0.4723
37,Does the research design allow for efficient reuse of study (results) by other researchers?,How has RE research adapted to the needs of industry over time?,0.5179
38,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",How has RE research adapted to the needs of industry over time?,0.5314
39,How has the reporting of research questions and answers evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5692
40,How has the use of language (academic vs. plain) in scientific publications evolved over time?,How has the gap between research and practice in RE evolved over time?,0.4255
41,Do the authors use a well defined taxonomy for their research design?,How has the gap between research and practice in RE evolved over time?,0.3394
42,Do the authors use other channels to publish their results for making them available to industrial users?,How has RE research adapted to the needs of industry over time?,0.3831
43,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",How has the use of empirical methods in RE research influenced RE practices?,0.5193
44,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",How has the use of empirical methods in RE research influenced RE practices?,0.57
45,Have the authors done a systematic review of related work?,How has empirical research contributed to the understanding of RE practices?,0.3709
46,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",How has empirical research contributed to the understanding of RE practices?,0.4126
47,How many publications are analyzed in (systematic literature) reviews?,How are RE techniques evaluated in empirical studies?,0.3986
48,"""Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?""",What are the common themes in RE case studies from the industry?,0.4494
49,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",How has empirical research contributed to the understanding of RE practices?,0.3428
50,"""Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?""",How has RE research adapted to the needs of industry over time?,0.3454
51,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,How has the use of empirical methods in RE research influenced RE practices?,0.3994
52,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,How has the use of empirical methods in RE research influenced RE practices?,0.3728
53,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,How are RE techniques evaluated in empirical studies?,0.5181
54,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,How are RE techniques evaluated in empirical studies?,0.5405
55,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,How are RE techniques evaluated in empirical studies?,0.4715
56,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,How are RE techniques evaluated in empirical studies?,0.5071
57,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,How has the use of empirical methods in RE research influenced RE practices?,0.6072
58,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,How has the use of empirical methods in RE research influenced RE practices?,0.6082
59,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How has empirical research contributed to the understanding of RE practices?,0.5568
60,How many different empirical methods are used per publication?,How are RE techniques evaluated in empirical studies?,0.5865
61,How has the number of empirical methods used per publication evolved over time?,How has the use of empirical methods in RE research influenced RE practices?,0.5781
62,Which methods are used to synthesize evidence from data of different empirical methods?,How are RE techniques evaluated in empirical studies?,0.6204
63,How many studies incorporate theories?,How has the gap between research and practice in RE evolved over time?,0.4578
64,How has the incorporation of theories in studies evolved over time?,How has the gap between research and practice in RE evolved over time?,0.5835
65,"""For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?""",What are the common themes in RE case studies from the industry?,0.393
66,"""What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?""",How do interdisciplinary studies contribute to RE?,0.4993
67,"""How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?""",How has the gap between research and practice in RE evolved over time?,0.5148
68,How many theories from the SE and RE are there?,How has empirical research contributed to the understanding of RE practices?,0.4424
69,How has the number of theories from SE and RE evolved over time?,How has the gap between research and practice in RE evolved over time?,0.497
70,"""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",How has empirical research contributed to the understanding of RE practices?,0.3567
71,What is the proportion of each of the three levels of sophistication for theories from SE and RE?,How do different industries approach RE?,0.3698
72,How has the proportion of each of the three levels of sophistication for theories from SE and RE evolved over time?,How has the gap between research and practice in RE evolved over time?,0.4232
73,"""Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?""",What is the role of certification in standardizing RE practices?,0.4165
74,How often are standards used to describe the theories incorporated?,What are the benefits of standardizing RE terminology?,0.4206
75,How has the use of standards to describe the theories incorporated evolved over time?,What is the role of certification in standardizing RE practices?,0.4442
76,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,How has empirical research contributed to the understanding of RE practices?,0.3486
