,genCQs,best_expertCQs,best_cos_score
0,What are the key challenges in increasing the number of empirical studies in Software Engineering (SE)?,How many empirical studies are by authors working for large software development companies?,0.7203
1,What empirical methods are commonly used in SE research?,How often are which empirical methods used?,0.7929
2,How can the quality and relevance of empirical SE studies be increased?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7216
3,What are the major forums focused on empirical SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.642
4,What role does collaboration between academia and industry play in SE research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4119
5,How can SE theories be systematically reviewed and documented?,How many theories from the SE and RE are there?,0.6175
6,What is the vision of empirical methods in SE for the future (2020-2025)?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7002
7,How can common terminologies and taxonomies be developed in SE research?,Do the authors use a well defined taxonomy for their research design?,0.6553
8,What are the essential archetype classes in SE?,How often are standards used to describe the theories incorporated?,0.3909
9,How is empirical research distinguished from other scientific methods in SE?,How has the number of empirical methods used per publication evolved over time?,0.7361
10,How do empirical SE methods facilitate the development of new SE technologies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6285
11,What are the main theories of the scientific method relevant to SE?,How many studies incorporate theories?,0.6711
12,What are the primary approaches to empirical research in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6935
13,How can the results of empirical SE studies be synthesized and utilized?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7175
14,What are some systematic reviews of empirical methods in SE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.7518
15,How can empirical research methods be integrated into SE education?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6199
16,How do qualitative and quantitative methods differ in empirical research?,How often are which empirical methods used?,0.5863
17,What are the main types of empirical studies conducted in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7681
18,What are some guidelines for conducting high-quality empirical studies in SE?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6342
19,How can the relevance of SE studies be evaluated in terms of industrial and research contexts?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5712
20,How can the reproducibility of empirical SE studies be ensured?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7142
21,What steps can be taken to improve the empirical research culture in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.527
22,How can the gap between SE practice and empirical research be bridged?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6458
