,genCQs,best_expertCQs,best_cos_score
0,What is the significance of empirical methods in software engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7134
1,What are the major challenges in applying empirical methods to software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6362
2,How has the emphasis on empirical research methods in software engineering evolved over time?,How has the number of empirical methods used per publication evolved over time?,0.6999
3,How does empirical research contribute to the development of new SE technologies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6099
4,What are some strategies to increase the quality of empirical studies in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6791
5,How can the link between academia and industry be strengthened to enhance empirical SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5268
6,What common research agendas can be developed to focus on empirical methods in software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6721
7,How does the focus of empirical methods in SE vary across different types of actors and activities?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6463
8,What are the types of empirical methods commonly used in SE research?,How often are which empirical methods used?,0.8241
9,How does the quality of empirical studies impact software development practices in industry?,How many empirical studies are by authors working for large software development companies?,0.7736
10,How can synthesis and theory building be promoted in empirical SE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6036
11,What types of evidence are typically collected in empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7326
12,How can empirical SE studies be designed to ensure high relevance and quality?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6902
13,How can the competency in applying empirical methods be increased among SE researchers?,How do the authors justify the selection and combination of empirical methods and design elements?,0.669
14,What role do systematic reviews play in empirical SE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7816
15,How can empirical SE research be funded more effectively?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.593
16,What criteria determine the right level of quality for an empirical SE study?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6912
17,How does the use of empirical methods vary across different SE research fields?,How often are which empirical methods used?,0.8033
