,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of a human-computer interaction system?,0.7025
1,What is an interactive software system?,What are the primary components of a human-computer interaction system?,0.6053
2,What is a complex interactive computer system?,What are the primary components of a human-computer interaction system?,0.7061
3,What does make up the user interface of an interactive computer system?,What are the primary components of a human-computer interaction system?,0.7393
4,What is a User?,How are users and their roles defined in an HCI context?,0.5047
5,How can a user interact in human–computer interactions?,What types of tasks can be performed through human-computer interaction?,0.7236
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary components of a human-computer interaction system?,0.5729
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components of a human-computer interaction system?,0.5778
8,What does make up a complex user participation?,What are the typical user behavior patterns in human-computer interaction?,0.4778
9,What is a human–computer interaction?,What types of tasks can be performed through human-computer interaction?,0.7667
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the typical user behavior patterns in human-computer interaction?,0.4832
11,How is a user input processed by an interactive computer system?,What are the primary components of a human-computer interaction system?,0.5778
12,How does a user receive an output from an interactive computer system?,How is user feedback collected and utilized in HCI?,0.5011
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components of a human-computer interaction system?,0.5575
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What types of tasks can be performed through human-computer interaction?,0.5278
