,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How is feedback provided and managed in interactive systems?,0.6805
1,What is an interactive software system?,How is feedback provided and managed in interactive systems?,0.68
2,What is a complex interactive computer system?,What are the core components involved in a Human-Computer Interaction system?,0.6683
3,What does make up the user interface of an interactive computer system?,What are the core components involved in a Human-Computer Interaction system?,0.7009
4,What is a User?,How is user experience defined and measured in HCI?,0.3201
5,How can a user interact in human–computer interactions?,What are the core components involved in a Human-Computer Interaction system?,0.648
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the ethical considerations in designing and deploying interactive systems?,0.5658
7,Why does a user intentionally interact with an interactive computer system?,How is feedback provided and managed in interactive systems?,0.602
8,What does make up a complex user participation?,What are the key factors influencing user satisfaction in HCI?,0.4664
9,What is a human–computer interaction?,What are the core components involved in a Human-Computer Interaction system?,0.7
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the key factors influencing user satisfaction in HCI?,0.4471
11,How is a user input processed by an interactive computer system?,How is feedback provided and managed in interactive systems?,0.6512
12,How does a user receive an output from an interactive computer system?,How is feedback provided and managed in interactive systems?,0.6328
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How is feedback provided and managed in interactive systems?,0.6539
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How are tasks analyzed and modeled in the context of HCI?,0.5074
