,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components that constitute a human-computer interaction system?,0.7141
1,What is an interactive software system?,What are the main components that constitute a human-computer interaction system?,0.6128
2,What is a complex interactive computer system?,What are the main components that constitute a human-computer interaction system?,0.73
3,What does make up the user interface of an interactive computer system?,What are the main components that constitute a human-computer interaction system?,0.7395
4,What is a User?,How does the ontology categorize different types of human users involved in HCI?,0.4302
5,How can a user interact in human–computer interactions?,What are the main components that constitute a human-computer interaction system?,0.6863
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main components that constitute a human-computer interaction system?,0.5585
7,Why does a user intentionally interact with an interactive computer system?,What are the main components that constitute a human-computer interaction system?,0.5746
8,What does make up a complex user participation?,What types of tasks are commonly performed by users in HCI systems?,0.498
9,What is a human–computer interaction?,What is the definition of human-computer interaction in the context of this ontology?,0.8153
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What is the definition of human-computer interaction in the context of this ontology?,0.4695
11,How is a user input processed by an interactive computer system?,What are the main components that constitute a human-computer interaction system?,0.5689
12,How does a user receive an output from an interactive computer system?,How is user feedback typically collected and represented in HCI?,0.5065
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components that constitute a human-computer interaction system?,0.5477
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How are different user goals and motivations represented in HCI?,0.5911
