,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components involved in human-computer interaction systems?,0.6826
1,What is an interactive software system?,How do interactive systems support collaborative work?,0.6612
2,What is a complex interactive computer system?,What are the primary components involved in human-computer interaction systems?,0.6956
3,What does make up the user interface of an interactive computer system?,What are the primary components involved in human-computer interaction systems?,0.716
4,What is a User?,How does the system adapt to user preferences and behaviors?,0.3496
5,How can a user interact in human–computer interactions?,What are the primary components involved in human-computer interaction systems?,0.6877
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do interactive systems support collaborative work?,0.557
7,Why does a user intentionally interact with an interactive computer system?,How do interactive systems support collaborative work?,0.5855
8,What does make up a complex user participation?,How do interactive systems support collaborative work?,0.533
9,What is a human–computer interaction?,What are the primary components involved in human-computer interaction systems?,0.7348
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do interactive systems support collaborative work?,0.5421
11,How is a user input processed by an interactive computer system?,What are the primary components involved in human-computer interaction systems?,0.5646
12,How does a user receive an output from an interactive computer system?,How do interactive systems support collaborative work?,0.4864
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do multi-modal interaction systems integrate different forms of input and output?,0.5759
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can task analysis be applied to improving human-computer interaction?,0.6015
