,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary goals of a Human-Computer Interaction system?,0.6695
1,What is an interactive software system?,What are the primary goals of a Human-Computer Interaction system?,0.5877
2,What is a complex interactive computer system?,What are the primary goals of a Human-Computer Interaction system?,0.6881
3,What does make up the user interface of an interactive computer system?,What are the primary components involved in Human-Computer Interaction?,0.6724
4,What is a User?,How are users classified in the context of Human-Computer Interaction?,0.6192
5,How can a user interact in human–computer interactions?,What are the primary components involved in Human-Computer Interaction?,0.7153
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary goals of a Human-Computer Interaction system?,0.566
7,Why does a user intentionally interact with an interactive computer system?,What are the primary goals of a Human-Computer Interaction system?,0.6001
8,What does make up a complex user participation?,What are the primary goals of a Human-Computer Interaction system?,0.4997
9,What is a human–computer interaction?,What are the primary components involved in Human-Computer Interaction?,0.753
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How are users classified in the context of Human-Computer Interaction?,0.5504
11,How is a user input processed by an interactive computer system?,What are the different types of user input commonly used in HCI?,0.5957
12,How does a user receive an output from an interactive computer system?,What are the primary goals of a Human-Computer Interaction system?,0.4945
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the different types of user input commonly used in HCI?,0.5657
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary goals of a Human-Computer Interaction system?,0.6973
