,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of a human-computer interaction system?,0.7025
1,What is an interactive software system?,What are the primary components of a human-computer interaction system?,0.6053
2,What is a complex interactive computer system?,What are the primary components of a human-computer interaction system?,0.7061
3,What does make up the user interface of an interactive computer system?,What are the primary components of a human-computer interaction system?,0.7393
4,What is a User?,How are users categorized in the context of human-computer interaction?,0.5888
5,How can a user interact in human–computer interactions?,What types of user interfaces are commonly utilized in human-computer interactions?,0.7722
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does user context influence the design and functionality of interactive systems?,0.6294
7,Why does a user intentionally interact with an interactive computer system?,How does user context influence the design and functionality of interactive systems?,0.6854
8,What does make up a complex user participation?,How are users categorized in the context of human-computer interaction?,0.5388
9,What is a human–computer interaction?,What are the primary components of a human-computer interaction system?,0.7371
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How are users categorized in the context of human-computer interaction?,0.5689
11,How is a user input processed by an interactive computer system?,What are the common techniques for user input and output in interfaces?,0.6367
12,How does a user receive an output from an interactive computer system?,What are the common techniques for user input and output in interfaces?,0.5817
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the common techniques for user input and output in interfaces?,0.6521
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What methods are used to evaluate user experience in human-computer interactions?,0.623
