,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.7198
1,How often are which empirical methods used over time?,What empirical methods are used in empirical sciences?,0.7794
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.7544
3, How do the authors justify the lack of a proper study?,What factors contribute to the quality and relevance of empirical SE studies?,0.5256
4,How has the proportion of papers that do not have an empirical study evolved over time?,How many empirical SE studies were identified in the major SE journals and conferences from 1993-2002?,0.6379
5,How many empirical studies are by authors working for large software development companies?,What percentage of large software development organizations conduct empirical studies to support their decisions?,0.8354
6,How has the proportion of studies by authors working for large software development companies evolved over time?,What percentage of large software development organizations conduct empirical studies to support their decisions?,0.7444
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",What has been the historical emphasis of SE research methods?,0.6132
8,How do the authors justify the selection and combination of empirical methods and design elements?,How can empirical methods be synthesized and theory built in SE research?,0.758
9,How often are which empirical methods used?,What empirical methods are used in empirical sciences?,0.8707
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How has the focus on empirical methods in SE research evolved since the 1970s?,0.7227
11,How has the proportion of replications evolved over time?,Why are replications and triangulation important in empirical SE research?,0.4945
12,How has the use of triangulation for research design evolved over time?,Why are replications and triangulation important in empirical SE research?,0.6718
13,How often are those who conduct the studies also the authors of the papers?,How many empirical SE studies were identified in the major SE journals and conferences from 1993-2002?,0.4986
14,How do the authors justify preventing bias in the study results?,How can the SE community better recognize the contributions of empirical studies?,0.5106
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How can empirical SE studies improve the acquisition and interpretation of evidence?,0.4642
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.5733
17,How often are which statistical methods used?,What empirical methods are used in empirical sciences?,0.5548
18,How has the use of statistical methods evolved over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.6415
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How can SE research address the discrepancy in the use of different empirical methods?,0.577
20,How has the definition of the population evolved over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.3112
21,How has the use of power analysis and effect size estimation evolved over time?,What empirical approaches are taken to assess SE technology?,0.3874
22,How has the reporting of threats to validity evolved over time?,How should the scope of validity for empirical SE studies be defined and reported?,0.4865
23,What types of threats to validity do the authors report?,How should the scope of validity for empirical SE studies be defined and reported?,0.5362
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What has been the historical emphasis of SE research methods?,0.5855
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How has the focus on empirical methods in SE research evolved since the 1970s?,0.708
26,How has the reporting of the subjects evolved over time?,What has been the historical emphasis of SE research methods?,0.481
