,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core activities that users perform when interacting with computer systems?,0.6207
1,What is an interactive software system?,What are the core activities that users perform when interacting with computer systems?,0.5381
2,What is a complex interactive computer system?,What are the primary concepts related to Human-Computer Interaction (HCI)?,0.6479
3,What does make up the user interface of an interactive computer system?,What are the core activities that users perform when interacting with computer systems?,0.6515
4,What is a User?,How do user capabilities influence the interaction with ICT systems?,0.4028
5,How can a user interact in human–computer interactions?,What are the core activities that users perform when interacting with computer systems?,0.6746
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core activities that users perform when interacting with computer systems?,0.5802
7,Why does a user intentionally interact with an interactive computer system?,What are the core activities that users perform when interacting with computer systems?,0.6013
8,What does make up a complex user participation?,What are the core activities that users perform when interacting with computer systems?,0.513
9,What is a human–computer interaction?,What are the primary concepts related to Human-Computer Interaction (HCI)?,0.7692
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do user capabilities influence the interaction with ICT systems?,0.5492
11,How is a user input processed by an interactive computer system?,What are the core activities that users perform when interacting with computer systems?,0.5708
12,How does a user receive an output from an interactive computer system?,What are the core activities that users perform when interacting with computer systems?,0.5274
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do various input and output modalities affect user interaction in HCI?,0.5988
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core activities that users perform when interacting with computer systems?,0.4737
