,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.5555
1,What is an interactive software system?,What are common techniques for modeling and reasoning about user interactions in HCI?,0.5078
2,What is a complex interactive computer system?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.6085
3,What does make up the user interface of an interactive computer system?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.6207
4,What is a User?,How can user profiles be modeled within the context of HCI?,0.4089
5,How can a user interact in human–computer interactions?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.6675
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are common techniques for modeling and reasoning about user interactions in HCI?,0.5553
7,Why does a user intentionally interact with an interactive computer system?,What are common techniques for modeling and reasoning about user interactions in HCI?,0.5159
8,What does make up a complex user participation?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.4607
9,What is a human–computer interaction?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.7183
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can user feedback and events be integrated into HCI system adaptations?,0.4604
11,How is a user input processed by an interactive computer system?,What are the main types of interactions (input/output) that occur in HCI and how are they managed?,0.5759
12,How does a user receive an output from an interactive computer system?,What are the main types of interactions (input/output) that occur in HCI and how are they managed?,0.5256
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main types of interactions (input/output) that occur in HCI and how are they managed?,0.6011
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key elements and relationships in Human-Computer Interaction (HCI)?,0.4826
