,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How can user behavior be modeled to adapt interactive systems?,0.6776
1,What is an interactive software system?,How can user behavior be modeled to adapt interactive systems?,0.6715
2,What is a complex interactive computer system?,What are the primary types of human-computer interactions?,0.6422
3,What does make up the user interface of an interactive computer system?,How can user behavior be modeled to adapt interactive systems?,0.7003
4,What is a User?,How do users' cognitive abilities influence their interactions with computer systems?,0.3931
5,How can a user interact in human–computer interactions?,What are the primary types of human-computer interactions?,0.7744
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can user behavior be modeled to adapt interactive systems?,0.6888
7,Why does a user intentionally interact with an interactive computer system?,How do users' cognitive abilities influence their interactions with computer systems?,0.6755
8,What does make up a complex user participation?,How do users' cognitive abilities influence their interactions with computer systems?,0.4848
9,What is a human–computer interaction?,What are the primary types of human-computer interactions?,0.7496
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do users' cognitive abilities influence their interactions with computer systems?,0.57
11,How is a user input processed by an interactive computer system?,How can user behavior be modeled to adapt interactive systems?,0.6546
12,How does a user receive an output from an interactive computer system?,How can user behavior be modeled to adapt interactive systems?,0.576
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How can user behavior be modeled to adapt interactive systems?,0.6415
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary methods for evaluating user satisfaction in HCI?,0.5364
