,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How is user interaction with a system characterized in HCI?,0.667
1,What is an interactive software system?,How is user interaction with a system characterized in HCI?,0.6291
2,What is a complex interactive computer system?,How is user interaction with a system characterized in HCI?,0.671
3,What does make up the user interface of an interactive computer system?,What types of user interfaces are considered within the Human-Computer Interaction domain?,0.7321
4,What is a User?,How are user profiles defined and used within HCI systems?,0.4652
5,How can a user interact in human–computer interactions?,How is user interaction with a system characterized in HCI?,0.7156
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is user interaction with a system characterized in HCI?,0.6362
7,Why does a user intentionally interact with an interactive computer system?,How is user interaction with a system characterized in HCI?,0.6863
8,What does make up a complex user participation?,How is user interaction with a system characterized in HCI?,0.506
9,What is a human–computer interaction?,What types of user interfaces are considered within the Human-Computer Interaction domain?,0.7528
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is user interaction with a system characterized in HCI?,0.5013
11,How is a user input processed by an interactive computer system?,How is user interaction with a system characterized in HCI?,0.6264
12,How does a user receive an output from an interactive computer system?,How is user interaction with a system characterized in HCI?,0.58
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How is user interaction with a system characterized in HCI?,0.625
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How is user interaction with a system characterized in HCI?,0.4893
