,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What types of input and output modalities are used in interactive systems?,0.6484
1,What is an interactive software system?,What types of input and output modalities are used in interactive systems?,0.5811
2,What is a complex interactive computer system?,What are the key components and entities involved in Human-Computer Interaction?,0.645
3,What does make up the user interface of an interactive computer system?,What are the key components and entities involved in Human-Computer Interaction?,0.6736
4,What is a User?,How are user profiles and their characteristics represented in the context of HCI?,0.4723
5,How can a user interact in human–computer interactions?,What are the key components and entities involved in Human-Computer Interaction?,0.7181
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can context and environment influence user interaction with computer systems?,0.5781
7,Why does a user intentionally interact with an interactive computer system?,How can context and environment influence user interaction with computer systems?,0.6324
8,What does make up a complex user participation?,How are daily activities and their impact on user interaction modeled in HCI?,0.527
9,What is a human–computer interaction?,What are the key components and entities involved in Human-Computer Interaction?,0.7589
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can context and environment influence user interaction with computer systems?,0.4879
11,How is a user input processed by an interactive computer system?,What types of input and output modalities are used in interactive systems?,0.6766
12,How does a user receive an output from an interactive computer system?,What types of input and output modalities are used in interactive systems?,0.624
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output modalities are used in interactive systems?,0.7101
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key components and entities involved in Human-Computer Interaction?,0.4867
