,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.7173
1,What is an interactive software system?,What are the primary modes of interaction between users and computer systems?,0.6191
2,What is a complex interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.6821
3,What does make up the user interface of an interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.7601
4,What is a User?,What are the primary modes of interaction between users and computer systems?,0.4597
5,How can a user interact in human–computer interactions?,What are the primary modes of interaction between users and computer systems?,0.7517
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary modes of interaction between users and computer systems?,0.6621
7,Why does a user intentionally interact with an interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.6874
8,What does make up a complex user participation?,What are the primary modes of interaction between users and computer systems?,0.5403
9,What is a human–computer interaction?,What are the primary modes of interaction between users and computer systems?,0.6655
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the primary modes of interaction between users and computer systems?,0.5654
11,How is a user input processed by an interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.6031
12,How does a user receive an output from an interactive computer system?,What are the primary modes of interaction between users and computer systems?,0.5737
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary modes of interaction between users and computer systems?,0.5964
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary modes of interaction between users and computer systems?,0.4292
