,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What context and environmental features influence human-computer interactions?,0.5093
1,What is an interactive software system?,How can user capabilities be categorized for effective interaction with ICTs?,0.4626
2,What is a complex interactive computer system?,What are the main interaction modes utilized in HCI?,0.566
3,What does make up the user interface of an interactive computer system?,What are the key user characteristics that influence the adaptation of user interfaces?,0.5833
4,What is a User?,How can the ontology model the relationship between user characteristics and interaction modalities?,0.4384
5,How can a user interact in human–computer interactions?,What context and environmental features influence human-computer interactions?,0.6975
6,"Considering intentionality, how can a user interact with an interactive computer system?",What context and environmental features influence human-computer interactions?,0.5152
7,Why does a user intentionally interact with an interactive computer system?,What context and environmental features influence human-computer interactions?,0.5718
8,What does make up a complex user participation?,How can user capabilities be categorized for effective interaction with ICTs?,0.522
9,What is a human–computer interaction?,What context and environmental features influence human-computer interactions?,0.6635
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main activities users aim to perform with the help of ICTs?,0.5025
11,How is a user input processed by an interactive computer system?,What are the essential components for defining input and output methods in an HCI system?,0.5007
12,How does a user receive an output from an interactive computer system?,What are the essential components for defining input and output methods in an HCI system?,0.4959
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the essential components for defining input and output methods in an HCI system?,0.5533
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What context and environmental features influence human-computer interactions?,0.4313
