,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of a human-computer interaction system according to the Unified Foundation Ontology?,0.6238
1,What is an interactive software system?,What are the primary components of a human-computer interaction system according to the Unified Foundation Ontology?,0.5383
2,What is a complex interactive computer system?,What are the primary components of a human-computer interaction system according to the Unified Foundation Ontology?,0.6288
3,What does make up the user interface of an interactive computer system?,What are the primary components of a human-computer interaction system according to the Unified Foundation Ontology?,0.654
4,What is a User?,How can user profiles be represented and utilized in adaptive interface design?,0.4089
5,How can a user interact in human–computer interactions?,What types of input and output modalities are critical in human-computer interaction?,0.6148
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can multimodal user interfaces be modeled ontologically?,0.5332
7,Why does a user intentionally interact with an interactive computer system?,What types of input and output modalities are critical in human-computer interaction?,0.4961
8,What does make up a complex user participation?,How is activity-centered design used to match user activities with suitable technological support?,0.5221
9,What is a human–computer interaction?,What are the primary components of a human-computer interaction system according to the Unified Foundation Ontology?,0.6448
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is activity-centered design used to match user activities with suitable technological support?,0.4709
11,How is a user input processed by an interactive computer system?,What types of input and output modalities are critical in human-computer interaction?,0.6037
12,How does a user receive an output from an interactive computer system?,What types of input and output modalities are critical in human-computer interaction?,0.5296
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input and output modalities are critical in human-computer interaction?,0.6369
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What types of input and output modalities are critical in human-computer interaction?,0.4613
