,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What is the definition of a user profile in the context of human-computer interaction?,0.4639
1,What is an interactive software system?,What types of assistive technologies are modeled within the interaction ontology?,0.4345
2,What is a complex interactive computer system?,How does the interaction ontology support multimodal interaction?,0.4788
3,What does make up the user interface of an interactive computer system?,What are the semantic relationships between user characteristics and interaction modalities?,0.542
4,What is a User?,What is the definition of a user profile in the context of human-computer interaction?,0.6285
5,How can a user interact in human–computer interactions?,What are the semantic relationships between user characteristics and interaction modalities?,0.5468
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the semantic relationships between user characteristics and interaction modalities?,0.4551
7,Why does a user intentionally interact with an interactive computer system?,What are the semantic relationships between user characteristics and interaction modalities?,0.4452
8,What does make up a complex user participation?,What are the semantic relationships between user characteristics and interaction modalities?,0.4791
9,What is a human–computer interaction?,What is the definition of a user profile in the context of human-computer interaction?,0.5487
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the semantic relationships between user characteristics and interaction modalities?,0.4783
11,How is a user input processed by an interactive computer system?,What are the key interaction modalities for both input and output in HCI?,0.5178
12,How does a user receive an output from an interactive computer system?,What are the key interaction modalities for both input and output in HCI?,0.4631
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key interaction modalities for both input and output in HCI?,0.5541
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the criteria for evaluating the effectiveness of adaptive user interfaces generated from the ontology?,0.3709
