,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of a human-computer interaction system?,0.6599
1,What is an interactive software system?,What are the core components of a human-computer interaction system?,0.5577
2,What is a complex interactive computer system?,What are the core components of a human-computer interaction system?,0.6786
3,What does make up the user interface of an interactive computer system?,What are the core components of a human-computer interaction system?,0.714
4,What is a User?,"How can user profiles, including physical and cognitive abilities, be represented in ontology?",0.4203
5,How can a user interact in human–computer interactions?,How can multimodal interaction be represented and utilized in human-computer interface design?,0.7232
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can multimodal interaction be represented and utilized in human-computer interface design?,0.5823
7,Why does a user intentionally interact with an interactive computer system?,How can multimodal interaction be represented and utilized in human-computer interface design?,0.5615
8,What does make up a complex user participation?,How can user activities and tasks be modeled and integrated into HCI systems?,0.5112
9,What is a human–computer interaction?,What are the core components of a human-computer interaction system?,0.7012
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How can user characteristics impact the design of human-computer interfaces?,0.4923
11,How is a user input processed by an interactive computer system?,What types of input modalities can be used in human-computer interaction?,0.6129
12,How does a user receive an output from an interactive computer system?,What are the available physical devices for input and output in human-computer interaction systems?,0.5355
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the available physical devices for input and output in human-computer interaction systems?,0.5897
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core components of a human-computer interaction system?,0.4598
