,genCQs,best_expertCQs,best_cos_score
0,What are the main types of human-computer interaction?,What is a human–computer interaction?,0.7988
1,How do users interact with different types of devices and software?,How can a user interact in human–computer interactions?,0.6389
2,What are the fundamental concepts of activity-centered design in HCI?,What is a human–computer interaction?,0.5251
3,How can assistive technologies improve HCI for users with disabilities?,How can a user interact in human–computer interactions?,0.4094
4,What are the capabilities and limitations of users with various impairments in HCI?,How can a user interact in human–computer interactions?,0.4199
5,How is user information modeled in HCI ontologies?,What does make up the user interface of an interactive computer system?,0.4507
6,What types of activities can be performed by users with specific disabilities using assistive technologies?,How can a user interact in human–computer interactions?,0.4499
7,How can an HCI system adapt to user behavior in real-time?,How can a user interact in human–computer interactions?,0.5836
8,What are the common user modeling techniques in HCI?,How can a user interact in human–computer interactions?,0.5245
9,How do semantic relationships between HCI concepts support adaptive systems?,What is a complex interactive computer system?,0.452
10,What are the methods for inferring user capabilities and needs based on their interaction with ICT?,How can a user interact in human–computer interactions?,0.5077
11,How can ontological models be used to personalize user interfaces?,How can a user interact in human–computer interactions?,0.4865
12,What interaction modalities are available for different types of HCI?,What is a complex interactive computer system?,0.4388
13,How do technology characteristics relate to user accessibility?,What does make up the user interface of an interactive computer system?,0.4738
14,What are the best practices for designing multi-modal HCI systems?,What is a complex interactive computer system?,0.3833
