,genCQs,best_expertCQs,best_cos_score
0,What disabilities belong to each type of impairment?,What does make up a complex user participation?,0.2302
1,What impairment or combinations of impairments does a user have?,What is a User?,0.4091
2,What assistive support can be recommended to a user taking into account their disabilities and capabilities?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.2613
3,What activities and participations can a user perform in the information society according to their capabilities?,What does make up a complex user participation?,0.6257
4,How can user profiles be modeled to capture their abilities and disabilities in interactive systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4983
5,What are the characteristics of input and output interaction modes in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5638
6,How do impairments affect user interaction with ICT?,How can a user interact in human–computer interactions?,0.5464
7,How can semantic modeling be applied to adaptive user interfaces?,What does make up the user interface of an interactive computer system?,0.4613
8,What types of adaptive strategies can be implemented to support users with different capabilities?,What does make up a complex user participation?,0.3635
9,How does the interaction environment ontology relate to multi-device user interfaces?,What does make up the user interface of an interactive computer system?,0.5135
10,What are the core components of an ontology-based system for adaptive interfaces?,What does make up the user interface of an interactive computer system?,0.4628
11,How does an ontology classify assistive technologies and user devices?,What does make up the user interface of an interactive computer system?,0.3863
12,Which information is necessary to infer user needs from interaction data?,How can a user interact in human–computer interactions?,0.5119
13,How can activity-centered design be integrated with user modeling in HCI?,What does make up a complex user participation?,0.506
14,How do specific user environments influence the adaptation of applications based on user context?,Why does a user intentionally interact with an interactive computer system?,0.3761
