,genCQ,expertCQ,cos_score
0,What are the main components of human-computer interaction in terms of input and output modalities?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.7052
1,What are the main components of human-computer interaction in terms of input and output modalities?,What is a human–computer interaction?,0.6959
2,What are the main components of human-computer interaction in terms of input and output modalities?,What does make up the user interface of an interactive computer system?,0.6828
3,What are the main components of human-computer interaction in terms of input and output modalities?,How can a user interact in human–computer interactions?,0.6718
4,What are the main components of human-computer interaction in terms of input and output modalities?,How is a user input processed by an interactive computer system?,0.6676
5,How can an ontology be used to model the interaction between users and computer systems?,How can a user interact in human–computer interactions?,0.6348
6,How can an ontology be used to model the interaction between users and computer systems?,What is an interactive computer system?,0.6201
7,What are the main components of human-computer interaction in terms of input and output modalities?,What is an interactive computer system?,0.6184
8,What are the main components of human-computer interaction in terms of input and output modalities?,What is a complex interactive computer system?,0.6168
9,How can an ontology be used to model the interaction between users and computer systems?,What does make up the user interface of an interactive computer system?,0.6089
10,How can an ontology be used to model the interaction between users and computer systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5999
11,How can an ontology be used to model the interaction between users and computer systems?,What is a complex interactive computer system?,0.5903
12,What are the main components of human-computer interaction in terms of input and output modalities?,How does a user receive an output from an interactive computer system?,0.5894
13,How can an ontology be used to model the interaction between users and computer systems?,What is an interactive software system?,0.5676
14,How can an ontology be used to model the interaction between users and computer systems?,What is a human–computer interaction?,0.5512
15,How can an ontology be used to model the interaction between users and computer systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5509
16,How can an ontology be used to model the interaction between users and computer systems?,Why does a user intentionally interact with an interactive computer system?,0.5500
17,How can an ontology be used to model the interaction between users and computer systems?,How is a user input processed by an interactive computer system?,0.5498
18,How can multimodal systems be designed to support various interaction modalities?,How can a user interact in human–computer interactions?,0.5246
19,What are the main components of human-computer interaction in terms of input and output modalities?,Why does a user intentionally interact with an interactive computer system?,0.5232
20,How can multimodal systems be designed to support various interaction modalities?,What is a complex interactive computer system?,0.5223
21,What are the main components of human-computer interaction in terms of input and output modalities?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5193
22,How can an ontology be used to model the interaction between users and computer systems?,How does a user receive an output from an interactive computer system?,0.5176
