,genCQ,expertCQ,cos_score
0,What are the core interaction modalities involved in Human-Computer Interaction?,What is a human–computer interaction?,0.7288
1,What are the core interaction modalities involved in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.7088
2,What are the core interaction modalities involved in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.6549
3,How can multimodal systems enhance user interaction in diverse contexts?,How can a user interact in human–computer interactions?,0.6380
4,What are the core interaction modalities involved in Human-Computer Interaction?,What is a complex interactive computer system?,0.6188
5,What are the core interaction modalities involved in Human-Computer Interaction?,What is an interactive computer system?,0.5902
6,What role do user preferences and skills play in the adaptation of user interfaces?,What does make up the user interface of an interactive computer system?,0.5657
7,How can multimodal systems enhance user interaction in diverse contexts?,Why does a user intentionally interact with an interactive computer system?,0.5491
8,How can multimodal systems enhance user interaction in diverse contexts?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5457
9,What are the core interaction modalities involved in Human-Computer Interaction?,Why does a user intentionally interact with an interactive computer system?,0.5426
10,How do user sensory and motor abilities influence the choice of interaction modalities?,How can a user interact in human–computer interactions?,0.5418
11,What types of input devices are typically used in HCI systems?,How is a user input processed by an interactive computer system?,0.5399
12,How can multimodal systems enhance user interaction in diverse contexts?,What does make up the user interface of an interactive computer system?,0.5384
13,What are the core interaction modalities involved in Human-Computer Interaction?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5318
14,What types of input devices are typically used in HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5277
15,How can semantic reasoning enhance the personalization of user interfaces in HCI?,How can a user interact in human–computer interactions?,0.5248
16,What are the core interaction modalities involved in Human-Computer Interaction?,How is a user input processed by an interactive computer system?,0.5076
17,How can multimodal systems enhance user interaction in diverse contexts?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4992
18,What types of input devices are typically used in HCI systems?,What does make up the user interface of an interactive computer system?,0.4915
19,What are the core interaction modalities involved in Human-Computer Interaction?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4905
20,What types of output devices are typically involved in HCI systems?,How does a user receive an output from an interactive computer system?,0.4896
21,What are the core interaction modalities involved in Human-Computer Interaction?,What is an interactive software system?,0.4876
22,What are the core interaction modalities involved in Human-Computer Interaction?,What does make up a complex user participation?,0.4861
23,What role do user preferences and skills play in the adaptation of user interfaces?,How can a user interact in human–computer interactions?,0.4849
24,What are the essential components of an interaction ontology for HCI?,What is a human–computer interaction?,0.4847
25,What are the core interaction modalities involved in Human-Computer Interaction?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4844
26,How can semantic reasoning enhance the personalization of user interfaces in HCI?,What does make up the user interface of an interactive computer system?,0.4818
27,How can multimodal systems enhance user interaction in diverse contexts?,What is a complex interactive computer system?,0.4818
28,What are the essential components of an interaction ontology for HCI?,What is a complex interactive computer system?,0.4793
29,How do user sensory and motor abilities influence the choice of interaction modalities?,What does make up the user interface of an interactive computer system?,0.4766
30,How can multimodal systems enhance user interaction in diverse contexts?,What is an interactive computer system?,0.4760
31,What are the core interaction modalities involved in Human-Computer Interaction?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4745
32,What types of input devices are typically used in HCI systems?,What is an interactive computer system?,0.4689
33,How can multimodal systems enhance user interaction in diverse contexts?,What is a human–computer interaction?,0.4686
34,How can semantic reasoning enhance the personalization of user interfaces in HCI?,What is a human–computer interaction?,0.4674
35,What are the essential components of an interaction ontology for HCI?,What does make up the user interface of an interactive computer system?,0.4631
36,What types of input devices are typically used in HCI systems?,What is a complex interactive computer system?,0.4619
37,What are the essential components of an interaction ontology for HCI?,How can a user interact in human–computer interactions?,0.4596
38,How can multimodal systems enhance user interaction in diverse contexts?,How is a user input processed by an interactive computer system?,0.4579
39,What types of output devices are typically involved in HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4538
40,How do user sensory and motor abilities influence the choice of interaction modalities?,What is a human–computer interaction?,0.4494
41,How can multimodal systems enhance user interaction in diverse contexts?,What does make up a complex user participation?,0.4451
42,What types of input devices are typically used in HCI systems?,How does a user receive an output from an interactive computer system?,0.4430
43,How do user sensory and motor abilities influence the choice of interaction modalities?,Why does a user intentionally interact with an interactive computer system?,0.4406
44,How can multimodal systems enhance user interaction in diverse contexts?,What is an interactive software system?,0.4404
45,What types of output devices are typically involved in HCI systems?,What is a complex interactive computer system?,0.4383
