,genCQ,expertCQ,cos_score
0,What types of empirical studies have been predominant in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.8118
1,Do researchers consider all the assumptions of inference techniques to be used in their empirical research?,Do authors report that assumptions and limitations of statistical methods are met before using them?,0.7474
2,What types of empirical studies have been predominant in RE?,How has the proportion of empirical studies evolved over time?,0.7346
3,In which context have empirical studies of RE been carried out over the period of RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7155
4,How do empirical researchers ensure research designs are comprehensive?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7089
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7080
6,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
7,How has empirical research in various RE knowledge areas evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7036
8,What methodologies and frameworks are deemed necessary for structured empirical research in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.7033
9,How have empirical research methods in RE been assessed and improved over the last few decades?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6920
10,Do researchers link the empirical findings to underlying mechanisms or theories available?,How many studies incorporate theories?,0.6907
11,What are common assumptions of inference techniques for empirical research?,Do authors report that assumptions and limitations of statistical methods are met before using them?,0.6862
12,How have empirical research methods in RE been assessed and improved over the last few decades?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6777
13,What types of empirical studies have been predominant in RE?,How has the number of empirical methods used per publication evolved over time?,0.6762
14,How have empirical research methods in RE been assessed and improved over the last few decades?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6751
15,Which recommended practices from the literature are considered useful for designing and reporting empirical research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6735
16,How have different regions/countries contributed to empirical RE research over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6735
17,How have empirical research methods in RE been assessed and improved over the last few decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6715
18,How have empirical research methods in RE been assessed and improved over the last few decades?,How has the number of empirical methods used per publication evolved over time?,0.6689
19,What is the role of evidence-based methodologies in the evaluation and enhancement of empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6684
20,How have empirical research methods in RE been assessed and improved over the last few decades?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6681
21,What methodologies and frameworks are deemed necessary for structured empirical research in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6670
22,Which research method is frequently used in primary studies?,How often are which statistical methods used?,0.6637
23,How have empirical research methods in RE been assessed and improved over the last few decades?,How often are which empirical methods used over time?,0.6634
24,"Do researchers consider various validity issues (measures, measurement procedure, treatment, treatment procedure, treatment instrument)?",Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6628
25,What types of empirical studies have been predominant in RE?,How often are which empirical methods used?,0.6609
26,What methodologies and frameworks are deemed necessary for structured empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6573
27,How have empirical research methods in RE been assessed and improved over the last few decades?,How has the proportion of empirical studies evolved over time?,0.6548
28,What types of empirical studies have been predominant in RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6541
29,What types of empirical studies have been predominant in RE?,How often are which empirical methods used over time?,0.6533
30,How do empirical studies in RE validate their outcomes and implications for practice?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6522
31,To what extent have empirical research actions been successfully reproduced by other research groups beyond the initial investigators?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6490
32,Which recommended practices from the literature are considered useful for designing and reporting empirical research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6477
33,What types of empirical studies have been predominant in RE?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6462
34,What are common assumptions of inference techniques for empirical research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6460
35,What is the role of evidence-based methodologies in the evaluation and enhancement of empirical RE research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6447
36,Do researchers link the empirical findings to underlying mechanisms or theories available?,How has the proportion of empirical studies evolved over time?,0.6443
37,How have empirical research methods in RE been assessed and improved over the last few decades?,How often are which empirical methods used?,0.6422
38,Which research method is frequently used in primary studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6422
39,What is the frequency of different research types of primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6418
40,What types of empirical studies have been predominant in RE?,How many different empirical methods are used per publication?,0.6400
