,genCQ,expertCQ,cos_score
0,How has empirical research in RE evolved over time?,How has the proportion of empirical studies evolved over time?,0.7894
1,What is the role of systematic literature reviews in advancing empirical RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7857
2,What are the primary methods used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7634
3,What is the role of systematic literature reviews in advancing empirical RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.7632
4,In which contexts are empirical RE studies typically conducted?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7629
5,What are the major trends in empirical RE research over the past decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7611
6,What are the primary methods used in empirical RE studies?,How often are which empirical methods used?,0.7609
7,How is the quality of empirical RE studies assessed?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.7448
8,How has empirical research in RE evolved over time?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.7440
9,What are the most common data analysis techniques used in empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7348
10,What are the primary research questions addressed by empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7346
11,What are the most influential empirical studies in the field of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7330
12,What are the emerging areas of interest in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7274
13,How has empirical research in RE evolved over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7225
14,What are the common sources of bias in empirical RE studies and how are they mitigated?,How do the authors justify preventing bias in the study results?,0.7185
15,How has empirical research in RE evolved over time?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.7182
16,How is the quality of empirical RE studies assessed?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.7162
17,What types of data collection methods are used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7134
18,What are the primary methods used in empirical RE studies?,How often are which empirical methods used over time?,0.7134
19,What are the primary methods used in empirical RE studies?,How many different empirical methods are used per publication?,0.7113
20,What types of data collection methods are used in empirical RE studies?,How often are which empirical methods used?,0.7072
21,What are the future directions for empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7004
22,What is the role of systematic literature reviews in advancing empirical RE research?,How many publications are analyzed in (systematic literature) reviews?,0.6987
23,What types of data collection methods are used in empirical RE studies?,How many different empirical methods are used per publication?,0.6956
24,What types of data collection methods are used in empirical RE studies?,How often are which empirical methods used over time?,0.6881
25,What are the primary methods used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6849
26,What are the most common research designs used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6835
27,What are the emerging techniques in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6828
28,What are the major trends in empirical RE research over the past decades?,How has the proportion of empirical studies evolved over time?,0.6809
29,In which contexts are empirical RE studies typically conducted?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6805
30,What are the most common data analysis techniques used in empirical RE research?,How often are which empirical methods used?,0.6775
31,How has empirical research in RE evolved over time?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6774
32,How do empirical RE studies vary across different software development domains?,How many empirical studies are by authors working for large software development companies?,0.6737
33,What types of data collection methods are used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6711
34,What are the most significant contributions of empirical research to the RE field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6701
35,What is the role of systematic literature reviews in advancing empirical RE research?,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",0.6667
36,What are the most common research designs used in empirical RE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6653
37,What are the common sources of bias in empirical RE studies and how are they mitigated?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6645
38,How has empirical research in RE evolved over time?,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",0.6639
39,How has empirical research in RE evolved over time?,How has the number of empirical methods used per publication evolved over time?,0.6637
40,How do different empirical research methods compare in terms of effectiveness for RE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6629
41,What are the primary methods used in empirical RE studies?,How has the number of empirical methods used per publication evolved over time?,0.6620
42,In which contexts are empirical RE studies typically conducted?,How often are which empirical methods used?,0.6585
43,What types of data collection methods are used in empirical RE studies?,How has the number of empirical methods used per publication evolved over time?,0.6581
44,How has empirical research in RE evolved over time?,How often are which empirical methods used over time?,0.6571
45,In which contexts are empirical RE studies typically conducted?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6570
46,What is the role of systematic literature reviews in advancing empirical RE research?,Have the authors done a systematic review of related work?,0.6568
47,How do empirical RE studies vary across different software development domains?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6523
48,What is the role of systematic literature reviews in advancing empirical RE research?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.6522
49,What gaps exist in the current empirical research on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6512
50,In which contexts are empirical RE studies typically conducted?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6509
51,How has empirical research in RE evolved over time?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6508
52,What are the major trends in empirical RE research over the past decades?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6506
53,What are the most common data analysis techniques used in empirical RE research?,How often are which empirical methods used over time?,0.6502
54,What are the most common data analysis techniques used in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6496
55,What are the primary research questions addressed by empirical RE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6488
56,How is the quality of empirical RE studies assessed?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6485
57,What is the geographical distribution of empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6480
58,How are empirical RE studies distributed across different publication channels?,How many different empirical methods are used per publication?,0.6469
59,How has empirical research in RE evolved over time?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6466
60,In which contexts are empirical RE studies typically conducted?,How has the proportion of empirical studies evolved over time?,0.6462
