,genCQs,best_expertCQs,best_cos_score
0,What are the main research topics in empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.586
1,How has the quantity of empirical evaluations in ICSE papers changed over time?,How has the number of empirical methods used per publication evolved over time?,0.5349
2,What are common methods used in empirical software engineering?,How often are which empirical methods used?,0.7531
3,How often are replication studies conducted in software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6251
4,What are the typical populations sampled in requirements engineering studies?,How many empirical studies are by authors working for large software development companies?,0.4971
5,What challenges are associated with self-evaluations in empirical research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.4936
6,How are research hypotheses typically formulated in empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.6476
7,What are common threats to validity in empirical studies?,What types of threats to validity do the authors report?,0.7566
8,How have the experimental designs in empirical studies evolved over the years?,How do the authors justify the selection and combination of empirical methods and design elements?,0.688
9,What criteria are used to determine the soundness of an empirical study?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6236
10,How is bias minimized and reported in empirical research?,How do the authors justify preventing bias in the study results?,0.7442
11,What evaluation components are common in recent ICSE papers?,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,0.46
12,How often are industry-based studies conducted in software engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.7127
13,How are the units of analysis specified in empirical studies?,How often are which empirical methods used?,0.5487
14,How is external validity evaluated in empirical software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4863
15,What lessons have been learned from prominent empirical studies?,How has the proportion of empirical studies evolved over time?,0.7966
16,How are sampling methods defined in empirical studies?,How often are which empirical methods used?,0.6871
17,What is the role of hypotheses in empirical software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6243
18,How are empirical results typically analyzed and interpreted?,How often are which empirical methods used?,0.6553
19,How are study types defined and categorized in empirical research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6513
20,What is the impact of using industrial data versus student data in studies?,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",0.4442
21,How are evaluation types explicitly defined and used in empirical studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5731
22,What are common biases in software engineering research?,How do the authors justify preventing bias in the study results?,0.6336
23,How is the independence of evaluations ensured in empirical studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5652
24,How are populations for empirical studies identified and described?,How has the proportion of empirical studies evolved over time?,0.6321
25,How do researchers ensure the legal use of analysis methods?,Do authors report that assumptions and limitations of statistical methods are met before using them?,0.5744
26,What are the trends in the frequency of replicated studies over time?,How has the proportion of empirical studies evolved over time?,0.707
27,How adequate are the hypotheses in recent empirical studies?,How has the proportion of empirical studies evolved over time?,0.6443
28,What are some notable examples of sound empirical evaluations?,How often are which empirical methods used?,0.4868
29,How do you measure the evolution of empirical research topics over decades?,How has the proportion of empirical studies evolved over time?,0.7631
30,What gaps exist in the current state of empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.5969
31,How do empirical studies contribute to the theoretical framework of software engineering?,How many empirical studies are by authors working for large software development companies?,0.7188
32,How often are negative results reported in empirical software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6559
33,How are trends in hypothesis formulation and testing observed in recent studies?,How has the proportion of empirical studies evolved over time?,0.643
34,What recommendations are made for improving empirical research quality?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6014
35,What are the statistical tools commonly used to evaluate empirical research in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6827
36,How does the clarity of research questions affect the soundness of empirical studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6238
37,What role do examples play in the validation of empirical research findings?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6136
38,How are threats to internal validity addressed in empirical software research?,What types of threats to validity do the authors report?,0.5349
39,How often is meta-analysis performed on empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.641
40,What are common issues observed with the sampling type in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5879
41,How important is the replication of studies for building a body of knowledge?,How many studies incorporate theories?,0.5652
42,How is the evolution of empirical methods tracked over time?,How often are which empirical methods used over time?,0.8126
43,What significance do keynote talks and panels have on empirical research quality?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.481
