,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7595
1,What is an interactive software system?,What are the main components of an interactive system in the context of HCI?,0.7097
2,What is a complex interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7535
3,What does make up the user interface of an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7785
4,What is a User?,How do user characteristics influence the design of adaptive user interfaces?,0.3771
5,How can a user interact in human–computer interactions?,What are the different modalities used in human-computer interaction?,0.6961
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main components of an interactive system in the context of HCI?,0.5952
7,Why does a user intentionally interact with an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.614
8,What does make up a complex user participation?,What are the main components of an interactive system in the context of HCI?,0.4703
9,What is a human–computer interaction?,What are the different modalities used in human-computer interaction?,0.7157
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the different modalities used in human-computer interaction?,0.4605
11,How is a user input processed by an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.6338
12,How does a user receive an output from an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.5615
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components of an interactive system in the context of HCI?,0.6197
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the different modalities used in human-computer interaction?,0.4458
